日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-11,001234,19.84,23.8,23.8,19.84,8864,20956493.0,23.96,43.98,7.27,3.32
2022-01-12,001234,26.18,26.18,26.18,26.18,1327,3474112.0,0.0,10.0,2.38,0.5
2022-01-13,001234,28.8,28.8,28.8,28.8,3350,9647481.0,0.0,10.01,2.62,1.26
2022-01-14,001234,31.68,31.68,31.68,31.68,22271,70555921.0,0.0,10.0,2.88,8.35
2022-01-17,001234,33.0,34.85,34.85,32.86,102707,350236368.0,6.28,10.01,3.17,38.52
2022-01-18,001234,37.0,38.34,38.34,36.35,34119,128019471.0,5.71,10.01,3.49,12.79
2022-01-19,001234,42.1,42.17,42.17,34.51,205236,819907472.0,19.98,9.99,3.83,76.96
2022-01-20,001234,45.0,46.39,46.39,45.0,91842,423402592.0,3.3,10.01,4.22,34.44
2022-01-21,001234,51.03,41.75,51.03,41.75,212922,1014265600.0,20.0,-10.0,-4.64,79.85
2022-01-24,001234,37.58,37.58,37.58,37.58,4977,18703566.0,0.0,-9.99,-4.17,1.87
2022-01-25,001234,33.82,38.48,41.0,33.82,180839,647635920.0,19.11,2.39,0.9,67.81
2022-01-26,001234,34.63,34.63,35.82,34.63,69918,243304017.0,3.09,-10.01,-3.85,26.22
2022-01-27,001234,31.3,31.17,33.68,31.17,109345,346982608.0,7.25,-9.99,-3.46,41.0
2022-01-28,001234,30.71,28.1,30.96,28.05,101916,296218592.0,9.34,-9.85,-3.07,38.22
2022-02-07,001234,28.94,28.1,29.51,27.71,72686,207468498.0,6.41,0.0,0.0,27.26
2022-02-08,001234,28.0,29.29,29.5,27.25,81233,231733868.0,8.01,4.23,1.19,30.46
2022-02-09,001234,28.75,29.52,30.6,28.51,89863,265063902.0,7.14,0.79,0.23,33.7
2022-02-10,001234,29.9,32.47,32.47,28.9,74296,230099519.0,12.09,9.99,2.95,27.86
2022-02-11,001234,32.0,33.69,35.72,31.0,181704,621741888.0,14.54,3.76,1.22,68.14
2022-02-14,001234,32.99,34.86,35.99,31.4,147845,499170976.0,13.62,3.47,1.17,55.44
2022-02-15,001234,33.2,31.37,34.8,31.37,102750,333597424.0,9.84,-10.01,-3.49,38.53
2022-02-16,001234,30.06,30.66,30.99,29.6,95599,289949648.0,4.43,-2.26,-0.71,35.85
2022-02-17,001234,30.28,29.19,30.35,29.18,75370,223475066.0,3.82,-4.79,-1.47,28.26
2022-02-18,001234,29.05,29.37,29.6,28.77,45333,132484126.0,2.84,0.62,0.18,17.0
2022-02-21,001234,29.3,29.88,30.19,29.18,58861,175061748.0,3.44,1.74,0.51,22.07
2022-02-22,001234,29.51,28.34,29.8,28.28,65219,188132608.0,5.09,-5.15,-1.54,24.46
2022-02-23,001234,28.42,29.54,29.6,28.42,55454,160671618.0,4.16,4.23,1.2,20.8
2022-02-24,001234,29.08,27.03,29.47,26.59,76529,213154720.0,9.75,-8.5,-2.51,28.7
2022-02-25,001234,27.06,27.04,27.9,27.01,44169,120680608.0,3.29,0.04,0.01,16.56
2022-02-28,001234,27.17,26.19,27.2,25.59,42136,110379987.0,5.95,-3.14,-0.85,15.8
2022-03-01,001234,26.25,26.3,26.45,26.0,31291,81986243.0,1.72,0.42,0.11,11.73
2022-03-02,001234,26.15,26.41,26.55,25.95,30316,79768394.0,2.28,0.42,0.11,11.37
2022-03-03,001234,26.56,26.18,26.87,26.03,36052,94991594.0,3.18,-0.87,-0.23,13.52
2022-03-04,001234,26.27,28.8,28.8,26.27,88529,246620209.0,9.66,10.01,2.62,33.2
