日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-09-30,605099,22.23,22.23,22.23,22.23,7247,16109014.0,0.0,43.98,6.79,1.81
2020-10-09,605099,24.09,24.45,24.45,20.38,204655,463349616.0,18.31,9.99,2.22,51.05
2020-10-12,605099,25.5,26.9,26.9,25.5,56707,148254473.0,5.73,10.02,2.45,14.14
2020-10-13,605099,27.08,29.59,29.59,27.08,145598,413034480.0,9.33,10.0,2.69,36.32
2020-10-14,605099,29.66,27.41,29.66,26.63,163143,452533184.0,10.24,-7.37,-2.18,40.69
2020-10-15,605099,28.0,28.18,29.48,27.63,130165,370598688.0,6.75,2.81,0.77,32.47
2020-10-16,605099,30.0,29.98,31.0,29.9,162155,497129952.0,3.9,6.39,1.8,40.45
2020-10-19,605099,29.08,30.86,31.39,28.75,127930,384079664.0,8.81,2.94,0.88,31.91
2020-10-20,605099,30.3,30.09,30.35,28.71,99255,294277072.0,5.31,-2.5,-0.77,24.76
2020-10-21,605099,29.58,29.7,29.96,29.07,60763,178684263.0,2.96,-1.3,-0.39,15.16
2020-10-22,605099,29.97,28.71,30.79,28.63,73697,216078896.0,7.27,-3.33,-0.99,18.38
2020-10-23,605099,28.42,27.68,28.45,27.31,55844,154682816.0,3.97,-3.59,-1.03,13.93
2020-10-26,605099,27.03,28.04,28.09,26.9,32462,89436143.0,4.3,1.3,0.36,8.1
2020-10-27,605099,27.6,26.79,28.01,26.68,46418,126354590.0,4.74,-4.46,-1.25,11.58
2020-10-28,605099,27.02,27.85,28.4,27.02,42721,118390258.0,5.15,3.96,1.06,10.66
2020-10-29,605099,27.1,27.14,28.0,26.3,55992,151313105.0,6.1,-2.55,-0.71,13.97
2020-10-30,605099,27.22,25.71,27.7,25.65,50179,134158376.0,7.55,-5.27,-1.43,12.52
2020-11-02,605099,25.01,25.12,25.48,24.51,37895,94772991.0,3.77,-2.29,-0.59,9.45
2020-11-03,605099,25.18,25.73,25.97,25.18,27185,69815884.0,3.14,2.43,0.61,6.78
2020-11-04,605099,25.43,25.38,26.04,25.38,33249,85248270.0,2.57,-1.36,-0.35,8.29
2020-11-05,605099,25.48,25.42,25.81,25.26,36407,92750792.0,2.17,0.16,0.04,9.08
2020-11-06,605099,25.45,24.66,25.45,24.45,39660,97930916.0,3.93,-2.99,-0.76,9.89
2020-11-09,605099,24.66,25.94,26.17,24.5,54607,139760210.0,6.77,5.19,1.28,13.62
2020-11-10,605099,26.98,27.3,28.53,26.3,105954,293768128.0,8.6,5.24,1.36,26.43
2020-11-11,605099,26.14,26.75,27.09,26.14,60070,159670265.0,3.48,-2.01,-0.55,14.98
2020-11-12,605099,26.72,27.58,28.0,26.25,51441,139450512.0,6.54,3.1,0.83,12.83
2020-11-13,605099,27.72,28.58,28.96,27.15,67875,190877629.0,6.56,3.63,1.0,16.93
2020-11-16,605099,28.7,31.44,31.44,28.7,100332,304294224.0,9.59,10.01,2.86,25.03
2020-11-17,605099,31.13,30.98,32.89,30.71,79248,250034793.0,6.93,-1.46,-0.46,19.77
2020-11-18,605099,30.98,32.41,32.53,30.41,62077,195565577.0,6.84,4.62,1.43,15.48
2020-11-19,605099,31.76,31.05,32.18,29.29,62984,194821332.0,8.92,-4.2,-1.36,15.71
2020-11-20,605099,30.25,31.31,31.64,30.1,41384,128603949.0,4.96,0.84,0.26,10.32
2020-11-23,605099,31.47,33.4,34.36,31.0,52537,173486596.0,10.73,6.68,2.09,13.1
2020-11-24,605099,33.49,34.1,35.15,32.6,38377,131151886.0,7.63,2.1,0.7,9.57
2020-11-25,605099,34.44,32.77,35.35,32.4,49778,166617177.0,8.65,-3.9,-1.33,12.42
2020-11-26,605099,32.63,32.41,33.44,31.51,33124,107080621.0,5.89,-1.1,-0.36,8.26
2020-11-27,605099,31.96,31.75,32.4,31.22,24701,78448795.0,3.64,-2.04,-0.66,6.16
2020-11-30,605099,31.84,31.65,32.96,31.65,29581,94976984.0,4.13,-0.31,-0.1,7.38
2020-12-01,605099,31.16,31.75,32.12,31.16,22735,72145666.0,3.03,0.32,0.1,5.67
2020-12-02,605099,31.68,31.46,31.9,30.6,27559,85809691.0,4.09,-0.91,-0.29,6.87
2020-12-03,605099,31.5,31.58,32.6,30.88,29013,92103849.0,5.47,0.38,0.12,7.24
2020-12-04,605099,31.2,31.79,32.0,30.49,29136,91008415.0,4.78,0.66,0.21,7.27
2020-12-07,605099,31.51,31.85,32.45,31.38,21625,68868653.0,3.37,0.19,0.06,5.39
2020-12-08,605099,32.66,30.8,33.5,30.71,55725,177461500.0,8.76,-3.3,-1.05,13.9
