日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-12-02,688489,127.51,119.5,132.0,117.56,131823,1632805630.0,18.3,51.48,40.61,81.12
2022-12-05,688489,122.0,123.2,125.5,115.09,77952,946762902.0,8.71,3.1,3.7,47.97
2022-12-06,688489,122.02,123.59,125.88,117.0,54236,658037822.0,7.21,0.32,0.39,33.38
2022-12-07,688489,123.2,120.0,130.88,120.0,40796,514613860.0,8.8,-2.9,-3.59,25.11
2022-12-08,688489,118.92,112.01,121.36,112.01,28691,334097614.0,7.79,-6.66,-7.99,17.66
2022-12-09,688489,110.99,113.07,116.2,110.02,27943,317110154.0,5.52,0.95,1.06,17.2
2022-12-12,688489,114.01,117.58,117.83,112.82,21446,248734282.0,4.43,3.99,4.51,13.2
2022-12-13,688489,117.7,112.88,117.7,111.18,17148,194531445.0,5.55,-4.0,-4.7,10.55
2022-12-14,688489,113.04,111.11,114.66,110.65,10092,113424977.0,3.55,-1.57,-1.77,6.21
2022-12-15,688489,110.08,112.64,113.6,106.58,15641,173187371.0,6.32,1.38,1.53,9.63
2022-12-16,688489,111.0,107.0,111.79,106.9,11413,123983003.0,4.34,-5.01,-5.64,7.02
2022-12-19,688489,105.1,102.98,109.89,101.9,8664,90948804.0,7.47,-3.76,-4.02,5.33
2022-12-20,688489,107.75,101.0,107.85,99.67,11707,120688752.0,7.94,-1.92,-1.98,7.2
2022-12-21,688489,99.0,99.5,101.92,98.11,11295,112994665.0,3.77,-1.49,-1.5,6.95
2022-12-22,688489,100.09,99.8,102.76,99.09,7402,74525225.0,3.69,0.3,0.3,4.56
2022-12-23,688489,98.96,103.37,105.2,98.91,7770,80100507.0,6.3,3.58,3.57,4.78
2022-12-26,688489,102.5,102.9,105.81,101.55,8773,90514191.0,4.12,-0.45,-0.47,5.4
2022-12-27,688489,102.5,100.11,104.11,98.6,9996,100631287.0,5.35,-2.71,-2.79,6.15
2022-12-28,688489,99.0,93.76,99.48,93.51,15938,152808013.0,5.96,-6.34,-6.35,9.81
2022-12-29,688489,93.5,100.08,101.39,93.27,16481,160989770.0,8.66,6.74,6.32,10.14
2022-12-30,688489,100.0,101.33,105.5,99.0,12671,128473893.0,6.49,1.25,1.25,7.8
2023-01-03,688489,101.29,113.66,118.7,100.14,23849,264598880.0,18.32,12.17,12.33,14.59
2023-01-04,688489,115.58,117.77,119.86,113.3,16612,193340016.0,5.77,3.62,4.11,10.16
2023-01-05,688489,116.65,119.27,120.19,115.55,9885,116613445.0,3.94,1.27,1.5,6.05
