日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2006-07-10,600819,4.43,4.68,4.72,4.4,39795,18310853.0,7.24,5.88,0.26,6.29
2006-07-11,600819,4.62,4.6,4.76,4.58,34277,16004717.0,3.85,-1.71,-0.08,5.42
2006-07-12,600819,4.54,4.37,4.54,4.25,23781,10458871.0,6.3,-5.0,-0.23,3.76
2006-07-13,600819,4.32,4.03,4.44,3.97,24689,10199289.0,10.76,-7.78,-0.34,3.9
2006-07-14,600819,3.99,4.04,4.11,3.91,12339,4981439.0,4.96,0.25,0.01,1.95
2006-07-17,600819,4.03,4.08,4.12,4.0,10113,4110695.0,2.97,0.99,0.04,1.6
2006-07-18,600819,4.09,4.12,4.15,4.02,6176,2513685.0,3.19,0.98,0.04,0.98
2006-07-19,600819,4.13,4.04,4.13,4.02,8040,3262982.0,2.67,-1.94,-0.08,1.27
2006-07-20,600819,4.04,4.05,4.09,4.0,3612,1466395.0,2.23,0.25,0.01,0.57
2006-07-21,600819,4.05,4.12,4.15,4.05,5589,2295870.0,2.47,1.73,0.07,0.88
2006-07-24,600819,4.1,4.06,4.1,3.98,7217,2910028.0,2.91,-1.46,-0.06,1.14
2006-07-25,600819,4.09,4.18,4.23,4.04,14932,6248008.0,4.68,2.96,0.12,2.36
2006-07-26,600819,4.23,4.14,4.23,4.1,9987,4140553.0,3.11,-0.96,-0.04,1.58
2006-07-27,600819,4.13,4.07,4.14,4.01,13313,5411198.0,3.14,-1.69,-0.07,2.1
2006-07-28,600819,4.07,3.95,4.12,3.91,14341,5689217.0,5.16,-2.95,-0.12,2.27
2006-07-31,600819,3.99,3.8,3.99,3.8,6666,2578899.0,4.81,-3.8,-0.15,1.05
2006-08-01,600819,3.86,3.83,3.94,3.8,8264,3195741.0,3.68,0.79,0.03,1.31
2006-08-02,600819,3.84,3.84,3.89,3.75,5283,2008451.0,3.66,0.26,0.01,0.83
2006-08-03,600819,3.88,3.81,3.93,3.8,3103,1190133.0,3.39,-0.78,-0.03,0.49
2006-08-04,600819,3.85,3.67,3.85,3.64,7165,2664307.0,5.51,-3.67,-0.14,1.13
2006-08-07,600819,3.67,3.43,3.67,3.35,8353,2938788.0,8.72,-6.54,-0.24,1.32
2006-08-08,600819,3.43,3.6,3.63,3.43,9707,3432938.0,5.83,4.96,0.17,1.53
2006-08-09,600819,3.6,3.63,3.76,3.53,5808,2108232.0,6.39,0.83,0.03,0.92
2006-08-10,600819,3.67,3.7,3.78,3.65,9992,3708132.0,3.58,1.93,0.07,1.58
2006-08-11,600819,3.66,3.65,3.73,3.62,6370,2330077.0,2.97,-1.35,-0.05,1.01
2006-08-14,600819,3.63,3.5,3.67,3.33,4636,1642632.0,9.32,-4.11,-0.15,0.73
2006-08-15,600819,3.5,3.57,3.6,3.45,4099,1448722.0,4.29,2.0,0.07,0.65
2006-08-16,600819,3.55,3.63,3.63,3.53,5072,1823681.0,2.8,1.68,0.06,0.8
