code,name,行业,上市时间,最新,涨幅,股息率_2024
000650,仁和药业,中药,19961210,5.52,0.36,2.72
000651,格力电器,家电行业,19961118,46.56,-1.1,6.44
000652,泰达股份,综合行业,19961128,3.76,-1.31,0.8
000655,金岭矿业,钢铁行业,19961128,6.73,-0.44,2.67
000656,*ST金科,房地产开发,19961128,1.55,1.31,0.0
000657,中钨高新,小金属,19961205,10.68,0.0,1.5
000659,珠海中富,包装材料,19961203,3.22,0.0,0.0
000661,长春高新,生物制品,19961218,102.39,-0.95,2.54
000663,永安林业,装修建材,19961206,6.03,-2.43,0.0
000665,湖北广电,文化传媒,19961210,4.8,-3.81,0.0
000668,荣丰控股,房地产开发,19961210,6.77,-2.73,0.0
000669,ST金鸿,燃气,19961210,2.22,5.21,0.0
000670,盈方微,半导体,19961217,7.13,-4.04,0.0
000672,上峰水泥,水泥建材,19961218,8.64,-1.03,7.29
000676,智度股份,互联网服务,19961224,7.96,-3.52,0.0
000677,恒天海龙,化纤行业,19961226,5.66,1.07,0.0
000678,襄阳轴承,汽车零部件,19970106,16.0,-1.72,0.0
000679,大连友谊,商业百货,19970124,6.17,0.33,0.0
000680,山推股份,工程机械,19970122,8.9,-1.11,1.01
000681,视觉中国,文化传媒,19970121,19.82,-4.11,0.11
000682,东方电子,电网设备,19970121,9.36,-1.37,0.88
000683,远兴能源,化学原料,19970131,5.06,-0.2,5.93
000685,中山公用,公用事业,19970123,8.46,-0.94,5.11
000686,东北证券,证券,19970227,7.25,-1.09,1.66
000688,国城矿业,有色金属,19970120,12.04,-1.07,0.0
000690,宝新能源,电力行业,19970128,4.33,-1.14,3.46
000691,亚太实业,化学制品,19970228,5.26,4.99,0.0
000692,惠天热电,公用事业,19970227,3.39,-2.87,0.0
000695,滨海能源,造纸印刷,19970218,15.14,10.03,0.0
000697,炼石航空,航天航空,19970325,7.0,-0.57,0.0
000698,沈阳化工,石油行业,19970220,3.7,-1.07,0.0
000700,模塑科技,汽车零部件,19970228,7.46,-0.8,4.37
000701,厦门信达,商业百货,19970226,5.18,-1.71,0.0
000702,正虹科技,农牧饲渔,19970318,7.06,-0.98,0.0
000703,恒逸石化,化纤行业,19970328,5.98,-0.17,0.84
000705,浙江震元,医药商业,19970410,8.27,1.6,0.73
000707,双环科技,化学原料,19970415,6.33,0.0,2.87
000708,中信特钢,钢铁行业,19970326,11.22,-0.44,4.52
000709,河钢股份,钢铁行业,19970416,2.18,-0.46,1.38
000710,贝瑞基因,医疗器械,19970422,13.83,10.02,0.0
000711,*ST京蓝,环保行业,19970411,1.82,-0.55,0.0
000712,锦龙股份,证券,19970415,12.15,-2.8,0.0
000713,丰乐种业,农牧饲渔,19970422,6.95,-2.25,0.29
000715,中兴商业,商业百货,19970508,7.18,-0.14,1.39
000716,黑芝麻,食品饮料,19970418,6.26,-1.11,0.8
000717,中南股份,钢铁行业,19970508,2.54,-1.55,0.0
000718,苏宁环球,房地产开发,19970408,2.11,-1.86,4.74
000719,中原传媒,文化传媒,19970331,12.28,-2.31,4.89
000720,新能泰山,电网设备,19970509,3.29,-3.8,0.0
000721,西安饮食,旅游酒店,19970430,8.61,-1.03,0.0
000722,湖南发展,电力行业,19970522,13.14,-10.0,0.38
000723,美锦能源,煤炭行业,19970515,4.18,-1.88,0.0
000725,京东方A,光学光电子,20010112,3.82,-1.29,1.31
000726,鲁泰A,纺织服装,20001225,6.29,-1.26,3.97
000727,冠捷科技,光学光电子,19970520,2.36,-2.48,0.0
000728,国元证券,证券,19970616,7.53,-0.4,2.12
000729,燕京啤酒,酿酒行业,19970716,13.54,-0.29,1.4
000731,四川美丰,化肥行业,19970617,6.83,-0.29,3.95
000733,振华科技,电子元件,19970703,46.66,-2.87,0.39
000735,罗牛山,农牧饲渔,19970611,5.76,-0.52,0.35
000736,中交地产,房地产开发,19970425,4.37,-3.96,0.0
000737,北方铜业,有色金属,19970428,9.01,-1.21,1.22
000738,航发控制,航天航空,19970626,18.84,-0.69,0.91
000739,普洛药业,化学制药,19970509,13.85,1.24,2.57
000750,国海证券,证券,19970709,3.75,-1.83,0.96
000751,锌业股份,有色金属,19970626,2.94,-1.34,1.02
000752,ST西发,酿酒行业,19970625,8.55,1.54,0.0
000753,漳州发展,汽车服务,19970626,5.27,-1.68,0.38
000755,山西高速,铁路公路,19970627,4.94,-2.18,4.05
000756,新华制药,化学制药,19970806,15.73,2.28,1.75
000757,浩物股份,汽车服务,19970627,4.48,-0.22,0.0
000758,中色股份,有色金属,19970416,4.77,-0.63,0.96
000759,中百集团,商业百货,19970519,8.11,0.87,0.0
000761,本钢板材,钢铁行业,19980115,4.26,0.71,0.0
000762,西藏矿业,能源金属,19970708,18.73,-1.0,0.27
000766,通化金马,化学制药,19970430,19.82,-0.25,0.0
000767,晋控电力,电力行业,19970609,3.02,-4.13,0.0
000768,中航西飞,航天航空,19970626,24.48,-1.37,0.49
000776,广发证券,证券,19970611,16.28,-1.51,3.07
000777,中核科技,通用设备,19970710,18.09,2.67,1.07
000778,新兴铸管,钢铁行业,19970606,3.44,-0.58,0.58
000779,甘咨询,工程咨询服务,19970528,9.13,-3.69,0.88
000782,恒申新材,化纤行业,19970619,5.02,-0.4,0.0
000783,长江证券,证券,19970731,6.53,-1.36,2.3
000785,居然智家,商业百货,19970711,3.28,-1.8,0.0
000786,北新建材,装修建材,19970606,28.42,-0.63,3.04
000788,北大医药,化学制药,19970616,5.86,0.17,1.37
000789,万年青,水泥建材,19970923,5.41,0.19,2.77
000790,华神科技,中药,19980327,3.72,-1.06,0.0
000791,甘肃能源,电力行业,19971014,6.3,-2.02,2.86
000792,盐湖股份,化肥行业,19970904,16.06,0.06,0.0
000793,华闻集团,文化传媒,19970729,2.65,-1.85,0.0
000795,英洛华,小金属,19970808,10.08,-1.56,1.23
000796,凯撒旅业,旅游酒店,19970703,3.62,-1.9,0.0
000797,中国武夷,房地产开发,19970715,2.65,-1.85,0.0
000798,中水渔业,农牧饲渔,19980212,7.02,-1.13,0.0
000799,酒鬼酒,酿酒行业,19970718,42.3,-1.83,1.42
000800,一汽解放,汽车整车,19970618,7.28,-0.68,0.69
000801,四川九洲,家电行业,19980506,15.7,-3.27,0.64
000802,北京文化,文化传媒,19980108,4.37,-2.24,0.0
000803,山高环能,综合行业,19980303,5.52,-2.3,0.0
000807,云铝股份,有色金属,19980408,15.07,-0.72,2.72
000809,*ST和展,风电设备,19980616,3.17,-1.55,0.0
000810,创维数字,通信设备,19980602,11.33,-2.83,1.15
000811,冰轮环境,通用设备,19980528,12.03,-0.5,2.08
000812,陕西金叶,包装材料,19980623,4.43,-0.45,0.63
000813,德展健康,化学制药,19980519,3.18,-0.93,0.0
000815,美利云,造纸印刷,19980609,12.56,-1.57,0.0
000816,智慧农业,通用设备,19970818,3.08,-2.53,0.0
000818,航锦科技,化学原料,19971017,23.09,-3.83,0.0
000819,岳阳兴长,石油行业,19970625,14.36,0.07,0.7
000820,神雾节能,环保行业,19980630,2.92,5.04,0.0
000821,京山轻机,光伏设备,19980626,11.05,-0.45,0.63
000822,山东海化,化学原料,19980703,5.88,5.57,0.0
000823,超声电子,电子元件,19971008,9.92,-1.68,2.02
000825,太钢不锈,钢铁行业,19981021,3.58,-1.1,0.0
000826,启迪环境,环保行业,19980225,1.78,-2.73,0.0
000828,东莞控股,铁路公路,19970617,10.24,-1.35,4.64
000829,天音控股,贸易行业,19971202,9.84,-2.28,0.1
000830,鲁西化工,化学原料,19980807,10.71,-0.65,3.27
000831,中国稀土,小金属,19980911,33.0,2.07,0.0
000833,粤桂股份,综合行业,19981111,11.39,0.09,1.07
000837,秦川机床,通用设备,19980928,12.38,-3.36,0.0
000838,财信发展,房地产开发,19970626,2.35,-2.49,0.0
000839,中信国安,综合行业,19971031,2.67,-0.37,0.0
000848,承德露露,食品饮料,19971113,10.54,-0.75,2.85
000850,华茂股份,纺织服装,19981007,4.02,-2.66,2.49
000851,ST高鸿,通信设备,19980609,2.44,-2.79,0.0
000852,石化机械,专用设备,19981126,6.1,-1.45,0.0
000856,冀东装备,专用设备,19980813,10.4,-3.44,0.0
000858,五粮液,酿酒行业,19980427,128.15,-0.73,4.48
000859,国风新材,塑料制品,19981119,7.92,10.0,0.0
000860,顺鑫农业,酿酒行业,19981104,15.6,-1.2,0.96
000862,银星能源,电力行业,19980915,5.42,-3.73,0.0
000863,三湘印象,房地产开发,19970925,3.63,-1.36,0.0
000868,安凯客车,汽车整车,19970725,5.84,-0.34,0.0
000869,张裕A,酿酒行业,20001026,22.57,-1.01,1.77
000875,吉电股份,电力行业,20020926,5.25,-1.87,2.53
000876,新希望,农牧饲渔,19980311,9.38,-1.16,0.26
000877,天山股份,水泥建材,19990107,4.63,-1.49,0.0
000880,潍柴重机,通用设备,19980402,32.28,-0.71,0.62
000881,中广核技,化学制品,19980902,7.31,1.67,0.0
000882,华联股份,商业百货,19980616,2.13,-2.29,0.0
000883,湖北能源,电力行业,19980519,4.65,-0.43,2.15
000885,城发环境,环保行业,19990319,13.38,-1.62,2.66
000886,海南高速,铁路公路,19980123,5.89,-1.83,0.34
000887,中鼎股份,汽车零部件,19981203,18.21,-1.78,0.82
000888,峨眉山A,旅游酒店,19971021,13.21,-1.27,1.89
000889,ST中嘉,通信服务,19971218,2.76,0.36,0.0
000890,法尔胜,通用设备,19990119,3.6,-2.44,0.0
000892,欢瑞世纪,文化传媒,19990115,3.52,-3.56,0.0
000893,亚钾国际,化肥行业,19981224,28.91,-0.03,0.0
000895,双汇发展,食品饮料,19981210,24.58,-0.65,5.74
000897,津滨发展,房地产开发,19990422,2.26,-0.88,4.2
000898,鞍钢股份,钢铁行业,19971225,2.36,-0.42,0.0
000899,赣能股份,电力行业,19971126,9.23,-1.28,3.58
000900,现代投资,铁路公路,19990128,4.12,-0.48,3.64
000901,航天科技,汽车零部件,19990401,11.28,0.18,0.0
000902,新洋丰,化肥行业,19990408,13.54,0.07,2.22
000903,云内动力,汽车零部件,19990415,3.79,-5.72,0.0
000905,厦门港务,航运港口,19990429,7.9,-4.7,1.37
000906,浙商中拓,物流行业,19990707,6.39,-2.29,3.13
000908,*ST景峰,化学制药,19990203,5.12,1.19,0.0
000909,ST数源,综合行业,19990507,5.74,-2.05,0.0
000910,大亚圣象,装修建材,19990630,7.17,-2.45,2.65
000911,广农糖业,食品饮料,19990527,7.45,-1.72,0.0
000912,泸天化,化肥行业,19990603,4.6,-1.71,0.0
000913,钱江摩托,交运设备,19990514,15.56,-0.58,5.01
000915,华特达因,化学制药,19990609,29.97,-0.43,8.34
000917,电广传媒,文化传媒,19990325,7.04,-3.16,0.28
000919,金陵药业,中药,19991118,6.63,-0.6,1.51
000920,沃顿科技,环保行业,19990616,9.72,-2.02,2.03
000921,海信家电,家电行业,19990713,29.36,0.58,4.19
000922,佳电股份,电机,19990618,10.64,-0.09,1.04
000923,河钢资源,钢铁行业,19990714,12.98,-0.76,3.85
000925,众合科技,交运设备,19990611,7.32,-2.14,0.2
000926,福星股份,房地产开发,19990618,2.14,-1.83,0.0
000927,中国铁物,物流行业,19990727,2.56,-1.92,1.05
000928,中钢国际,工程咨询服务,19990312,6.37,-0.93,4.69
000929,兰州黄河,酿酒行业,19990623,7.41,-0.94,0.0
000930,中粮科技,农牧饲渔,19990712,5.43,-0.55,0.0
000931,中关村,化学制药,19990712,5.08,0.4,0.0
000932,华菱钢铁,钢铁行业,19990803,4.9,-1.01,2.04
000933,神火股份,有色金属,19990831,16.88,-1.4,4.74
000935,四川双马,水泥建材,19990824,16.51,-3.73,0.0
000936,华西股份,化纤行业,19990810,6.82,-1.73,0.59
000937,冀中能源,煤炭行业,19990909,6.74,-0.44,11.87
000938,紫光股份,互联网服务,19991104,23.7,-1.7,0.32
000948,南天信息,软件开发,19991014,17.76,-4.62,0.51
000949,新乡化纤,化纤行业,19991021,4.0,-0.5,0.75
000950,重药控股,医药商业,19990916,4.92,-0.2,1.22
000951,中国重汽,汽车整车,19991125,17.46,0.17,3.99
000952,广济药业,化学制药,19991112,5.94,0.17,0.0
000953,河化股份,化学制药,19991202,7.56,5.59,0.0
000955,欣龙控股,纺织服装,19991209,4.56,-3.8,0.0
000957,中通客车,汽车整车,20000113,11.41,-1.47,0.7
000958,电投产融,电力行业,19991223,7.59,4.4,0.91
000959,首钢股份,钢铁行业,19991216,3.55,-0.84,0.62
000960,锡业股份,小金属,20000221,14.08,0.07,2.06
000962,东方钽业,小金属,20000120,18.23,4.11,0.72
000963,华东医药,化学制药,20000127,43.38,2.46,2.14
000965,天保基建,房地产开发,20000406,3.83,-1.79,0.26
000966,长源电力,电力行业,20000316,5.07,-2.69,1.42
000967,盈峰环境,环保行业,20000330,6.9,1.02,2.74
000968,蓝焰控股,燃气,20000622,6.42,-1.23,0.47
000969,安泰科技,通用设备,20000529,12.64,1.44,1.58
000970,中科三环,小金属,20000420,10.93,-1.53,0.18
000972,中基健康,食品饮料,20000926,3.38,-1.46,0.0
000973,佛塑科技,塑料制品,20000525,6.86,5.86,0.51
000975,山金国际,贵金属,20000608,20.54,1.28,1.78
000977,浪潮信息,计算机设备,20000608,48.67,-1.46,0.33
000978,桂林旅游,旅游酒店,20000518,5.89,-0.67,0.0
000980,众泰汽车,汽车整车,20000616,2.17,-0.46,0.0
000981,山子高科,汽车零部件,20000622,2.08,0.48,0.0
000983,山西焦煤,煤炭行业,20000726,6.25,-1.11,3.52
000985,大庆华科,化学制品,20000726,17.39,-1.7,0.29
000987,越秀资本,多元金融,20000718,6.36,-1.55,2.67
000988,华工科技,电子元件,20000608,41.86,0.38,0.48
000989,ST九芝,中药,20000628,8.96,1.36,3.35
000990,诚志股份,化学原料,20000706,7.6,-0.26,0.66
000993,闽东电力,电力行业,20000731,9.8,-4.76,0.0
000995,皇台酒业,酿酒行业,20000807,13.03,-1.96,0.0
000997,新大陆,互联网服务,20000807,29.3,-3.62,1.88
000998,隆平高科,农牧饲渔,20001211,10.03,-0.99,0.0
000999,华润三九,中药,20000309,41.99,0.89,3.14
001201,东瑞股份,农牧饲渔,20210428,14.37,-1.17,0.0
001202,炬申股份,物流行业,20210429,15.88,-1.61,0.0
001203,大中矿业,钢铁行业,20210510,8.47,0.0,3.54
001205,盛航股份,航运港口,20210513,16.04,-1.9,0.75
001206,依依股份,美容护理,20210518,22.24,-0.76,3.91
001207,联科科技,橡胶制品,20210623,24.05,7.22,1.66
001208,华菱线缆,电网设备,20210624,10.26,-1.63,0.6
001209,洪兴股份,纺织服装,20210723,17.7,-5.25,1.13
001210,金房能源,公用事业,20210729,15.3,-0.71,1.31
001211,双枪科技,家用轻工,20210805,22.04,-0.54,0.96
001212,中旗新材,装修装饰,20210823,66.72,-1.37,0.15
001213,中铁特货,物流行业,20210908,4.04,-1.46,1.51
001215,千味央厨,食品饮料,20210906,27.61,-2.3,0.0
001216,华瓷股份,装修建材,20211019,13.54,-0.37,2.95
001217,华尔泰,化学原料,20210929,10.96,-0.99,0.91
001218,丽臣实业,化学制品,20211015,17.44,0.11,2.92
001219,青岛食品,食品饮料,20211021,13.65,-1.66,2.2
001222,源飞宠物,家用轻工,20220818,18.85,1.24,0.8
001223,欧克科技,专用设备,20221212,52.18,2.6,0.29
001225,和泰机电,通用设备,20230222,32.22,-0.65,3.79
001226,拓山重工,工程机械,20220622,26.85,-0.81,1.49
001227,兰州银行,银行,20220117,2.38,-1.24,4.24
001228,永泰运,物流行业,20220429,22.55,-0.84,2.93
001229,魅视科技,计算机设备,20220808,30.72,-1.19,1.95
001230,劲旅环境,环保行业,20220715,18.5,-1.07,1.73
001231,农心科技,农药兽药,20220819,18.84,-1.1,1.06
001234,泰慕士,纺织服装,20220111,19.86,-2.69,2.52
001236,弘业期货,多元金融,20220805,9.16,-2.24,0.11
001238,浙江正特,装修建材,20220919,34.7,-1.22,0.0
001239,永达股份,专用设备,20231212,15.23,-1.68,0.0
001255,博菲电气,化学原料,20220930,28.9,-1.73,0.14
001256,炜冈科技,专用设备,20221205,21.78,-0.77,0.92
001258,立新能源,电力行业,20220727,6.78,-2.16,0.25
001259,利仁科技,家电行业,20220831,23.5,-0.47,0.68
001260,坤泰股份,汽车零部件,20230216,18.01,0.0,0.7
