报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2009年报,2010-04-17,2010-05-11,2010-05-13,10转增10股派3元(含税),2010-05-19,2010-05-20,1774.50万,实施方案,28.57%,0.69%
2010中报,2010-07-24,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-03-25,2011-04-16,2011-05-04,10转5股,2011-05-10,2011-05-11,--,实施方案,--,--
2011年报,2012-04-24,2012-05-16,2012-07-05,10派0.9544元(含税),2012-07-12,2012-07-13,1774.42万,实施方案,31.81%,0.81%
2012中报,2012-08-29,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-04-23,2013-05-14,2013-07-02,10转10.10777股派1.010777元(含税),2013-07-05,2013-07-08,1859.20万,实施方案,32.61%,0.64%
2013中报,2013-08-23,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-02-28,2014-03-21,2014-04-19,10派0.80元(含税),2014-04-24,2014-04-25,2958.85万,实施方案,34.78%,0.36%
2014中报,2014-08-23,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-03-25,2015-04-15,2015-05-27,10转7.5股派1元(含税),2015-06-01,2015-06-02,4417.30万,实施方案,40%,0.1%
2015中报,2015-08-12,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-04-30,2016-05-21,2016-07-12,10转5股派0.5元(含税),2016-07-15,2016-07-18,4593.64万,实施方案,-125%,0.27%
2016中报,2016-08-26,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-04-27,2017-05-18,,不分配不转增,,,--,股东大会预案,--,--
2017中报,2017-08-29,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-04-04,2018-04-26,,不分配不转增,,,--,股东大会预案,--,--
2018中报,2018-08-29,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-04,2019-04-27,,不分配不转增,,,--,股东大会预案,--,--
2019中报,2019-08-29,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-03-31,2020-04-23,,不分配不转增,,,--,股东大会预案,--,--
2020中报,2020-08-25,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-02,2021-06-30,,不分配不转增,,,--,股东大会预案,--,--
2021中报,2021-08-19,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-13,2022-05-13,,不分配不转增,,,--,股东大会预案,--,--
2022中报,2022-08-30,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-26,2023-05-18,2023-06-19,10派2.2元(含税),2023-06-27,2023-06-28,4.16亿,实施方案,37.29%,2.63%
2023中报,2023-08-10,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-23,2024-05-16,2024-05-18,10派0.9元(含税),2024-05-23,2024-05-24,1.70亿,实施方案,40.91%,--
