报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2010年报,2011-04-19,2011-05-10,2011-05-17,10转10股派6元(含税),2011-05-20,2011-05-23,4800.00万,实施方案,49.59%,1.55%
2011中报,2011-08-17,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-03-31,2012-04-21,2012-05-09,10转10股派2元(含税),2012-05-14,2012-05-15,3200.00万,实施方案,55.56%,1.25%
2012中报,2012-08-18,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-04-13,2013-05-09,2013-05-15,10转6股派1元(含税),2013-05-21,2013-05-22,3200.00万,实施方案,35.46%,1.06%
2013中报,2013-08-24,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-04-15,2014-05-07,2014-05-10,10派0.50元(含税),2014-05-15,2014-05-16,2560.00万,实施方案,26.88%,0.88%
2014中报,2014-08-23,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-04-18,2015-05-13,2015-05-15,10送3股转5股派0.6元(含税),2015-05-20,2015-05-21,3072.00万,实施方案,48.39%,0.25%
2015中报,2015-08-22,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-04-30,2016-05-25,,不分配不转增,,,--,股东大会预案,--,--
2016中报,2016-08-27,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-04-29,2017-05-23,2017-06-27,10派0.20元(含税),2017-07-03,2017-07-04,1843.20万,实施方案,66.67%,0.38%
2017中报,2017-08-26,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-04-28,2018-05-18,2018-07-06,10派0.10元(含税),2018-07-12,2018-07-13,921.60万,实施方案,25%,0.38%
2018中报,2018-08-25,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-30,2019-05-21,2019-07-09,10派0.1元(含税),2019-07-15,2019-07-16,921.60万,实施方案,22.22%,0.35%
2019中报,2019-08-30,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-30,2020-05-21,2020-07-09,10派0.1元(含税),2020-07-15,2020-07-16,921.60万,实施方案,23.31%,0.42%
2020中报,2020-08-28,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-27,2021-05-20,2021-06-22,10派0.1元(含税),2021-06-28,2021-06-29,921.60万,实施方案,250%,0.38%
2021中报,2021-08-27,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-27,2022-05-20,,不分配不转增,,,--,股东大会预案,--,--
2022中报,2022-08-30,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-26,2023-05-22,,不分配不转增,,,--,股东大会预案,--,--
2023中报,2023-08-29,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-27,2024-05-17,,不分配不转增,,,--,股东大会预案,--,--
