报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
1998年报,1999-03-20,1999-06-29,1999-08-24,10派5元(含税),1999-08-27,1999-08-30,4772.00万,实施方案,100%,1.82%
1999中报,1999-07-22,,,不分配不转增,,,--,董事会预案,--,--
1999年报,2000-03-22,2000-06-20,2000-07-13,10送2股转6股,2000-07-19,2000-07-20,--,实施方案,--,--
2000中报,2000-07-25,,,不分配不转增,,,--,董事会预案,--,--
2000年报,2001-03-20,2001-04-24,2001-05-09,10送1股转5股派0.25元(含税),2001-05-14,2001-05-15,482.69万,实施方案,7.35%,0.06%
2001中报,2001-07-31,,,不分配不转增,,,--,董事会预案,--,--
2001年报,2002-04-05,2002-05-28,2002-07-17,10派0.5元(含税),2002-07-23,2002-07-24,1544.59万,实施方案,31.25%,0.64%
2002中报,2002-08-15,,,不分配不转增,,,--,董事会预案,--,--
2002年报,2003-03-28,2003-04-30,,不分配不转增,,,--,股东大会预案,--,--
2003中报,2003-07-31,,,不分配不转增,,,--,董事会预案,--,--
2003年报,2004-03-20,2004-05-22,,不分配不转增,,,--,股东大会预案,--,--
2004中报,2004-08-05,,,不分配不转增,,,--,董事会预案,--,--
2004年报,2005-03-25,2005-05-25,2005-07-07,10派1元(含税),2005-07-13,2005-07-14,3089.18万,实施方案,83.33%,3.62%
2005中报,2005-07-28,,,不分配不转增,,,--,董事会预案,--,--
2005年报,2006-03-23,2006-05-24,2006-07-11,10派0.5元(含税),2006-07-14,2006-07-17,1544.59万,实施方案,33.33%,1.56%
2006中报,2006-07-25,,,不分配不转增,,,--,董事会预案,--,--
2006年报,2007-03-30,2007-06-01,2007-07-10,10派1元(含税),2007-07-16,2007-07-17,3089.18万,实施方案,58.48%,1.01%
2007中报,2007-07-31,,,不分配不转增,,,--,董事会预案,--,--
2007年报,2008-03-28,2008-05-08,,不分配不转增,,,--,股东大会预案,--,--
2008中报,2008-07-30,,,不分配不转增,,,--,董事会预案,--,--
2008年报,2009-03-20,2009-05-16,2009-07-02,10派2元(含税),2009-07-09,2009-07-10,6178.37万,实施方案,38.46%,2.36%
2009中报,2009-07-29,,,不分配不转增,,,--,董事会预案,--,--
2009年报,2010-03-30,2010-06-01,2010-07-08,10派2元(含税),2010-07-13,2010-07-14,6178.37万,实施方案,55.56%,2.58%
2010中报,2010-07-27,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-03-25,2011-05-17,2011-07-06,10派2元(含税),2011-07-11,2011-07-12,6178.37万,实施方案,30.4%,1.6%
2011中报,2011-07-29,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-03-29,2012-05-11,2012-06-28,10派1元(含税),2012-07-03,2012-07-04,3089.18万,实施方案,13.42%,1.16%
2012中报,2012-08-01,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-03-30,2013-06-01,2013-06-15,10派1.00元(含税),2013-06-20,2013-06-21,3089.18万,实施方案,15.38%,1.52%
2013中报,2013-07-31,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-03-31,2014-05-16,2014-06-12,10派1.0元(含税),2014-06-19,2014-06-20,3089.18万,实施方案,28.57%,1.75%
2014中报,2014-07-31,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-04-23,2015-05-16,,不分配不转增,,,--,股东大会预案,--,--
2015中报,2015-08-28,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-03-29,2016-06-29,,不分配不转增,,,--,股东大会预案,--,--
2016中报,2016-08-27,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-04-12,2017-05-06,2017-06-09,10派0.3元(含税),2017-06-14,2017-06-15,3166.79万,实施方案,4.61%,0.15%
2017中报,2017-08-21,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-04-10,2018-05-05,2018-06-27,10派0.37元(含税),2018-07-02,2018-07-03,3905.71万,实施方案,10.04%,0.38%
2018中报,2018-08-31,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-27,2019-05-18,,不分配不转增,,,--,股东大会预案,--,--
2019中报,2019-08-24,2019-10-16,2019-10-23,10派0.32元(含税),2019-10-28,2019-10-29,3279.99万,实施方案,69.41%,0.45%
2019年报,2020-04-30,2020-05-23,2020-06-17,10派0.22元(含税),2020-06-23,2020-06-24,2079.94万,实施方案,21.96%,0.29%
2020中报,2020-08-31,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-30,2021-05-25,2021-06-24,10派0.33元(含税),2021-06-30,2021-07-01,3119.91万,实施方案,11.51%,0.32%
2021中报,2021-08-30,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-30,2022-05-21,2022-06-22,10派0.35元(含税),2022-06-28,2022-06-29,3308.99万,实施方案,18.73%,0.39%
2022中报,2022-08-27,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-27,2023-05-24,2023-06-01,10派0.4元(含税),2023-06-06,2023-06-07,3781.70万,实施方案,19.03%,0.51%
2023中报,2023-08-26,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-27,2024-05-18,,不分配不转增,,,--,股东大会预案,--,--
2024中报,2024-08-30,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-04-29,,,不分配不转增,,,--,董事会预案,--,--
