报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
2016年报,2017-03-30,2017-06-05,2017-06-08,10转10股派5.00元(含税),2017-06-13,2017-06-14,5752.77万,实施方案,18.18%,0.34%
2017中报,2017-08-10,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-03-30,2018-04-25,2018-05-19,10派3.5元(含税),2018-05-24,2018-05-25,8053.59万,实施方案,23.18%,0.43%
2018中报,2018-08-18,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-03-16,2019-04-19,2019-05-31,10派4元(含税),2019-06-06,2019-06-10,9256.40万,实施方案,21.28%,0.47%
2019中报,2019-08-03,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-09,2020-05-06,2020-06-17,10派5.00元(含税),2020-06-23,2020-06-24,1.16亿,实施方案,20.66%,0.21%
2020中报,2020-08-08,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-16,2021-05-19,2021-07-07,10派6元(含税),2021-07-12,2021-07-13,1.46亿,实施方案,19.35%,0.16%
2021中报,2021-08-16,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-03-31,2022-06-10,2022-07-14,10转4股派8元(含税),2022-07-20,2022-07-21,2.18亿,实施方案,18.18%,0.3%
2022中报,2022-08-26,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-03-31,2023-06-10,2023-06-20,10派18元(含税),2023-06-27,2023-06-28,6.65亿,实施方案,19.96%,1.44%
2023中报,2023-08-30,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-29,2024-06-07,2024-06-24,10派18元(含税),2024-06-27,2024-06-28,6.65亿,实施方案,28.75%,2.67%
2024中报,2024-08-29,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-03-29,,,10派11元(含税),,,3.60亿,董事会预案,40.89%,--
