报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,B股股权登记日,B股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2022年报,2023-03-31,2023-04-20,2023-04-21,10派2.5元(含税),,,2545.00万,实施方案,59.52%,--
2023中报,2023-08-31,2023-09-13,2023-09-20,10派1元(含税),,,1070.60万,实施方案,40%,--
2023年报,2024-04-10,2024-05-07,,不分配不转增,,,--,股东大会预案,--,--
2024中报,2024-08-26,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-04-18,2025-05-09,2025-05-12,10派2.5元(含税),,,3633.88万,实施方案,40.32%,--
