报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
2016年报,2017-03-31,2017-05-23,2017-06-06,10派1.21元(含税),2017-06-09,2017-06-12,4.75亿,实施方案,55%,1.19%
2017中报,2017-08-25,2017-10-17,2017-10-23,10派0.73元(含税),2017-10-26,2017-10-27,2.86亿,实施方案,243.33%,0.82%
2017年报,2018-03-30,2018-05-18,2018-05-28,10派0.35元(含税),2018-05-31,2018-06-01,1.37亿,实施方案,31.82%,0.65%
2018中报,2018-08-30,2018-10-17,2018-10-30,10派0.10元(含税),2018-11-05,2018-11-06,3869.07万,实施方案,25%,0.21%
2018年报,2019-03-29,2019-06-12,,不分配不转增,,,--,股东大会预案,--,--
2019中报,2019-08-28,2019-11-08,2019-11-26,10派0.20元(含税),2019-12-02,2019-12-03,7738.14万,实施方案,33.33%,0.43%
2019年报,2020-04-23,2020-06-11,,不分配不转增,,,--,股东大会预案,--,--
2020中报,2020-08-28,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-31,2021-07-01,2021-07-27,10派0.17元(含税),2021-07-30,2021-08-02,7892.90万,实施方案,85%,0.38%
2021中报,2021-08-28,2021-11-10,2021-11-26,10派0.17元(含税),2021-12-01,2021-12-02,7892.90万,实施方案,34%,0.36%
2021年报,2022-03-26,2022-06-25,2022-07-04,10派0.21元(含税),2022-07-11,2022-07-12,9750.06万,实施方案,19.09%,0.52%
2022中报,2022-08-23,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-03-30,2023-05-25,2023-06-12,10派0.07元(含税),2023-06-16,2023-06-19,3250.02万,实施方案,35%,0.18%
2023中报,2023-08-31,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-29,2024-06-21,2024-07-31,10派0.14元(含税),2024-08-05,2024-08-06,6500.04万,实施方案,28%,0.39%
2024中报,2024-08-31,,2024-10-19,10派0.06元(含税),2024-10-24,2024-10-25,2785.73万,实施方案,15%,0.13%
2024年报,2025-03-29,,,10派0.17元(含税),,,5860.78万,董事会预案,32.08%,--
2025中报,2025-03-29,,,分红金额不超过2025年相应期间归属于母公司股东的净利润。,,,--,董事会预案,--,--
