报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
2018年报,2019-03-22,2019-06-25,2019-07-17,10派0.45元(含税),2019-07-24,2019-07-25,8775.00万,实施方案,19.57%,0.5%
2019中报,2019-08-27,2019-11-27,2019-12-17,10派0.27元(含税),2019-12-20,2019-12-23,5265.00万,实施方案,19.29%,0.23%
2019年报,2020-04-20,2020-06-30,,不分配不转增,,,--,股东大会预案,--,--
2020中报,2020-08-05,2020-10-10,2020-11-03,10派0.65元(含税),2020-11-06,2020-11-09,1.27亿,实施方案,27.08%,0.17%
2020年报,2021-03-30,2021-05-21,2021-06-16,10派1.50元(含税),2021-06-22,2021-06-23,3.22亿,实施方案,18.07%,0.39%
2021中报,2021-08-10,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-03-22,2022-06-07,,不分配不转增,,,--,股东大会预案,--,--
2022中报,2022-08-26,2022-10-21,2022-11-16,10派2.3元(含税),2022-11-22,2022-11-23,4.94亿,实施方案,48.94%,0.66%
2022年报,2023-03-28,2023-06-07,,不分配不转增,,,--,股东大会预案,--,--
2023中报,2023-08-29,2023-10-28,2023-11-21,10派2.38元(含税),2023-11-24,2023-11-27,5.60亿,实施方案,46.67%,0.92%
2023年报,2024-03-27,2024-06-18,2024-07-12,10派3.80元(含税),2024-07-18,2024-07-19,8.94亿,实施方案,30.65%,2.05%
2024中报,2024-08-28,2024-11-19,2024-12-13,10派1.3元(含税),2024-12-19,2024-12-20,3.05亿,实施方案,20.31%,0.6%
2024年报,2025-03-28,,,不分配不转增,,,--,董事会预案,--,--
