报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
2012年报,2013-03-09,2013-04-09,2013-04-22,10转10股派8元(含税),2013-04-26,2013-05-02,4272.00万,实施方案,52.63%,0.79%
2013中报,2013-08-06,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-03-18,2014-04-08,2014-04-16,10转10股派4元(含税),2014-04-21,2014-04-22,4272.00万,实施方案,45.45%,0.61%
2014中报,2014-08-08,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-04-11,2015-05-06,2015-05-13,10转10股派2.0元(含税),2015-05-19,2015-05-20,4300.38万,实施方案,33.9%,0.21%
2015中报,2015-08-18,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-04-16,2016-05-10,2016-05-13,10派1元(含税),2016-05-19,2016-05-20,4707.41万,实施方案,27.78%,0.33%
2016中报,2016-08-26,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-04-27,2017-05-19,,不分配不转增,,,--,股东大会预案,--,--
2017中报,2017-08-23,2017-09-08,2017-09-12,10派1元(含税),2017-09-18,2017-09-19,5001.77万,实施方案,41.81%,0.35%
2017年报,2018-04-20,2018-05-15,2018-05-22,10派2.00元(含税),2018-05-29,2018-05-30,1.00亿,实施方案,33.23%,0.37%
2018中报,2018-08-28,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-26,2019-05-17,2019-06-24,10转5股派3.5元(含税),2019-06-28,2019-07-01,1.75亿,实施方案,37.08%,0.45%
2019中报,2019-08-23,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-17,2020-05-12,2020-05-15,10派2.78元(含税),2020-05-21,2020-05-22,2.08亿,实施方案,24.6%,0.34%
2020中报,2020-08-29,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-30,2021-05-21,2021-05-26,10派3.00元(含税),2021-05-31,2021-06-01,2.62亿,实施方案,13.64%,0.17%
2021中报,2021-08-26,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-03-29,2022-05-20,2022-05-24,10派5元(含税),2022-05-30,2022-05-31,4.36亿,实施方案,15.11%,0.6%
2022中报,2022-08-26,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-03-29,2023-05-23,2023-07-03,10派5.5元(含税),2023-07-06,2023-07-07,4.80亿,实施方案,23.71%,0.86%
2023中报,2023-08-26,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-29,2024-05-24,2024-07-05,10派5.68元(含税),2024-07-11,2024-07-12,4.91亿,实施方案,24.27%,--
