报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
2010年报,2011-03-28,2011-04-19,2011-04-21,10转10股派20元(含税),2011-04-28,2011-04-29,8.00亿,实施方案,63.9%,2.28%
2011中报,2011-08-19,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-03-28,2012-04-21,2012-05-03,10派6元(含税),2012-05-08,2012-05-09,4.80亿,实施方案,76.92%,2.33%
2012中报,2012-08-03,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-04-12,2013-05-23,2013-05-29,10派6元(含税),2013-06-04,2013-06-05,4.80亿,实施方案,76.92%,3.23%
2013中报,2013-08-29,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-04-18,2014-05-17,2014-05-30,10派3元(含税),2014-06-06,2014-06-09,2.40亿,实施方案,75.64%,1.58%
2014中报,2014-08-28,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-04-28,2015-05-20,2015-06-02,10派3元(含税),2015-06-08,2015-06-09,2.40亿,实施方案,70.97%,0.67%
2015中报,2015-08-29,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-04-26,2016-05-19,2016-06-02,10转6股派6.00元(含税),2016-06-08,2016-06-13,4.68亿,实施方案,82.78%,2.1%
2016中报,2016-08-29,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-04-28,2017-05-24,2017-06-21,10派2.50元(含税),2017-06-27,2017-06-28,3.12亿,实施方案,78.99%,1.22%
2017中报,2017-08-19,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-04-25,2018-05-17,2018-06-22,10派0.45元(含税),2018-06-29,2018-07-02,5612.41万,实施方案,42.74%,0.2%
2018中报,2018-08-29,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-29,2019-05-22,2019-07-05,10派1元(含税),2019-07-12,2019-07-15,1.25亿,实施方案,20.24%,0.51%
2019中报,2019-08-28,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-29,2020-05-22,2020-06-22,10派1.80元(含税),2020-06-30,2020-07-01,2.24亿,实施方案,21.19%,0.72%
2020中报,2020-08-29,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-30,2021-05-27,2021-06-29,10派1.5元(含税),2021-07-05,2021-07-06,2.20亿,实施方案,19.82%,0.96%
2021中报,2021-08-27,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-12,2022-06-11,2022-07-21,10派0.35元(含税),2022-07-27,2022-07-28,5135.54万,实施方案,21.33%,0.21%
2022中报,2022-08-30,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-03-30,2023-05-23,2023-07-11,10派1元(含税),2023-07-17,2023-07-18,1.47亿,实施方案,20.18%,0.87%
2023中报,2023-08-31,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-29,2024-05-23,,不分配不转增,,,--,股东大会预案,--,--
2024中报,2024-08-31,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-03-29,2025-05-23,,10派2.5元(含税),,,3.12亿,股东大会预案,56.72%,--
