报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
1997年报,1998-03-21,1998-04-21,1998-06-13,10派1.2元(含税),1998-06-18,1998-06-19,3000.00万,实施方案,20%,0.35%
1998中报,1998-07-31,1998-09-01,1998-09-15,10转增3股,1998-09-18,1998-09-21,--,实施方案,--,--
1998年报,1999-03-06,1999-04-23,1999-06-12,10派1.9元(含税),1999-06-17,1999-06-18,6175.00万,实施方案,19.59%,0.54%
1999中报,1999-08-14,,,不分配不转增,,,--,董事会预案,--,--
1999年报,2000-04-15,2000-05-22,2000-06-06,10转增2股,2000-06-09,2000-06-12,--,实施方案,--,--
2000中报,2000-08-21,,,不分配不转增,,,--,董事会预案,--,--
2000年报,2001-02-20,2001-03-29,,不分配不转增,,,--,股东大会预案,--,--
2001中报,2001-08-16,2001-09-20,2001-10-10,10送2股派1.5元(含税),2001-10-16,2001-10-17,6951.00万,实施方案,33.94%,0.53%
2001年报,2002-03-12,2002-04-17,2002-05-16,10派1.5元(含税),2002-05-22,2002-05-23,8341.20万,实施方案,14.3%,0.68%
2002中报,2002-08-20,,,不分配不转增,,,--,董事会预案,--,--
2002年报,2003-03-12,2003-04-26,2003-05-16,10转增2股派2元(含税),2003-05-22,2003-05-23,1.11亿,实施方案,19.61%,0.94%
2003中报,2003-08-12,,,不分配不转增,,,--,董事会预案,--,--
2003年报,2004-04-10,2004-05-18,2004-05-19,10送2股派3元(含税),2004-05-24,2004-05-25,2.00亿,实施方案,26.6%,1.25%
2004中报,2004-08-31,,,不分配不转增,,,--,董事会预案,--,--
2004年报,2005-04-11,2005-06-01,2005-07-04,10派2.5元(含税),2005-07-07,2005-07-08,2.40亿,实施方案,18.52%,1.11%
2005中报,2005-08-24,,,不分配不转增,,,--,董事会预案,--,--
2005年报,2006-04-07,2006-06-15,2006-07-07,10派2.5元(含税),2006-07-13,2006-07-14,2.40亿,实施方案,20.16%,0.96%
2006中报,2006-08-25,,,不分配不转增,,,--,董事会预案,--,--
2006年报,2007-04-19,2007-06-18,2007-07-20,10派1.5元(含税),2007-07-26,2007-07-27,1.44亿,实施方案,18.75%,0.28%
2007中报,2007-08-17,,,不分配不转增,,,--,董事会预案,--,--
2007年报,2008-03-20,2008-05-28,2008-07-04,10转增4股派2.5元(含税),2008-07-09,2008-07-10,2.40亿,实施方案,19.23%,0.39%
2008中报,2008-08-21,,,不分配不转增,,,--,董事会预案,--,--
