报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2011中报,2011-08-05,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-04-27,2012-05-19,2012-05-23,10转3股派1元(含税),2012-05-29,2012-05-30,777.20万,实施方案,14.93%,0.73%
2012中报,2012-08-18,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-04-26,2013-05-20,,不分配不转增,,,--,股东大会预案,--,--
2013中报,2013-08-13,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-04-22,2014-05-13,2014-05-16,10派0.6元(含税),2014-05-21,2014-05-22,608.38万,实施方案,18.18%,0.32%
2014中报,2014-08-15,2014-09-05,2014-09-25,10转10.005320股,2014-10-08,2014-10-09,--,实施方案,--,--
2014年报,2015-04-01,2015-04-21,2015-05-14,10派0.3元(含税),2015-05-21,2015-05-22,609.11万,实施方案,10%,0.15%
2015中报,2015-08-07,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-04-23,2016-05-13,2016-05-18,10转15股派0.60元(含税),2016-05-23,2016-05-24,1381.77万,实施方案,10.71%,0.17%
2016中报,2016-08-26,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-04-25,2017-05-16,2017-05-19,10派0.50元(含税),2017-05-25,2017-05-26,3150.05万,实施方案,17.24%,0.35%
2017中报,2017-08-29,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-04-25,2018-05-16,2018-06-15,10转2股派0.50元(含税),2018-06-22,2018-06-25,3171.92万,实施方案,10.64%,0.42%
2018中报,2018-08-24,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-26,2019-05-23,2019-06-12,10转2.000796股派0.600239元(含税),2019-06-17,2019-06-18,4567.56万,实施方案,11.11%,0.59%
2019中报,2019-08-29,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-25,2020-05-20,2020-06-05,10派0.15元(含税),2020-06-12,2020-06-15,1466.79万,实施方案,2.54%,0.19%
2020中报,2020-08-28,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-28,2021-05-20,2021-06-01,10派0.2元(含税),2021-06-07,2021-06-08,2178.64万,实施方案,16.67%,0.24%
2021中报,2021-08-09,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-28,2022-05-20,2022-05-26,10派0.25元(含税),2022-05-31,2022-06-01,2727.49万,实施方案,14.71%,0.42%
2022中报,2022-08-26,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-17,2023-05-31,2023-06-07,10派0.15元(含税),2023-06-13,2023-06-14,1633.63万,实施方案,25%,0.16%
2023中报,2023-08-11,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-22,2024-05-13,2024-05-15,10派0.500690元(含税),2024-05-21,2024-05-22,5438.71万,实施方案,37.73%,--
