报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2018年报,2019-04-16,2019-05-08,2019-05-27,10派7元(含税),2019-06-03,2019-06-04,8325.66万,实施方案,40.46%,2.32%
2019中报,2019-08-27,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-28,2020-05-23,2020-06-08,10派6元(含税),2020-06-11,2020-06-12,7136.28万,实施方案,41.67%,2.61%
2020中报,2020-08-25,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-27,2021-05-22,2021-06-07,10派1.5元(含税),2021-06-10,2021-06-11,1784.07万,实施方案,50%,0.85%
2021中报,2021-08-24,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-26,2022-05-21,2022-06-16,10转4股派3元(含税),2022-06-22,2022-06-23,3568.14万,实施方案,96.77%,1.09%
2022中报,2022-08-27,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-25,2023-05-27,2023-06-28,10转3股派1.0024元(含税),2023-07-03,2023-07-04,1665.12万,实施方案,-33.41%,0.92%
2023中报,2023-08-29,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-26,2024-05-25,2024-06-19,10派1.5元(含税),2024-06-25,2024-06-26,3234.80万,实施方案,214.29%,2.04%
2024中报,2024-08-27,,,不分配不转增,,,--,董事会预案,--,--
2025中报,2025-04-22,2025-05-17,,不超过当期归属于上市公司股东的净利润的100%。,,,--,股东大会预案,--,--
2024年报,2025-04-22,2025-05-17,,10派2.2元(含税),,,4744.37万,股东大会预案,81.48%,--
