报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,B股股权登记日,B股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2022年报,2023-03-24,2023-04-14,,不分配不转增,,,--,股东大会预案,--,--
2023中报,2023-10-10,2023-10-25,,10派10.00元(含税),,,2675.21万,取消分红,101.01%,--
2023年报,2024-03-29,2024-04-18,,不分配不转增,,,--,股东大会预案,--,--
2024中报,2024-08-20,,,不分配不转增,,,--,董事会预案,--,--
2024三季报,2024-10-28,2024-12-05,2025-01-02,10派2元(含税),,,650.04万,实施方案,12.9%,--
2025中报,2025-04-24,,,现金红利总金额不低于相应期间归属于上市公司股东净利润的20%，且不超过相应期间归属于上市公司股东的净利润。,,,--,董事会预案,--,--
2024年报,2025-04-24,,,10转4股派2元(含税),,,650.04万,董事会预案,10.42%,--
