报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2019中报,2019-08-30,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-15,2020-05-08,2020-06-17,10转4.945815股派5.440397元(含税),2020-06-22,2020-06-23,2933.33万,实施方案,20.84%,0.31%
2020中报,2020-08-26,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-28,2021-05-19,2021-05-25,10派4.5元(含税),2021-05-31,2021-06-01,3997.50万,实施方案,23.08%,0.4%
2021中报,2021-08-25,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-27,2022-05-18,2022-05-24,10转5股派7元(含税),2022-05-30,2022-05-31,6212.10万,实施方案,34.48%,1.61%
2022中报,2022-08-23,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-11,2023-05-15,2023-06-12,10转5股派2元(含税),2023-06-19,2023-06-20,2651.40万,实施方案,31.25%,0.45%
2023中报,2023-08-29,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-26,2024-05-20,2024-05-29,10派1.4元(含税),2024-06-05,2024-06-06,2783.97万,实施方案,36.84%,0.79%
2024中报,2024-08-29,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-04-29,2025-05-19,,10派1.5元(含税),,,2982.83万,股东大会预案,39.47%,--
