报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
1995年报,1996-04-26,1996-06-28,1996-06-28,10派0.6元,1996-07-04,1996-07-05,7980.00万,实施方案,--,1.55%
1996年报,1997-04-30,1997-06-25,,不分配不转增,,,--,股东大会预案,--,--
1997年报,1998-04-24,1998-06-27,1998-07-09,10派0.2元(含税),1998-07-14,1998-07-15,2660.00万,实施方案,--,0.52%
1998年报,1999-05-17,1999-06-30,,不分配不转增,,,--,股东大会预案,--,--
1999中报,1999-08-26,,,不分配不转增,,,--,董事会预案,--,--
1999年报,2000-04-25,2000-06-29,,不分配不转增,,,--,股东大会预案,--,--
2000中报,2000-08-29,,,不分配不转增,,,--,董事会预案,--,--
2000年报,2001-03-19,2001-05-09,,不分配不转增,,,--,股东大会预案,--,--
2001中报,2001-08-01,,,不分配不转增,,,--,董事会预案,--,--
2001年报,2002-03-01,2002-05-31,2002-05-31,10派0.8元(含税),2002-06-05,2002-06-06,1.06亿,实施方案,40%,0.99%
2002中报,2002-08-02,,,不分配不转增,,,--,董事会预案,--,--
2002年报,2003-02-21,2003-04-09,2003-05-19,10派0.85元(含税),2003-05-22,2003-05-23,1.13亿,实施方案,38.64%,1.2%
2003中报,2003-07-25,,,不分配不转增,,,--,董事会预案,--,--
2003年报,2004-02-13,2004-03-31,2004-05-14,10派0.8元(含税),2004-05-19,2004-05-20,1.06亿,实施方案,38.1%,1.03%
2004中报,2004-08-20,,,不分配不转增,,,--,董事会预案,--,--
2004年报,2005-04-15,2005-06-01,2005-07-22,10派1元(含税),2005-07-27,2005-07-28,1.33亿,实施方案,41.67%,2.84%
2005中报,2005-08-31,,,不分配不转增,,,--,董事会预案,--,--
2005年报,2006-04-21,2006-07-03,2006-07-25,10派0.4元(含税),2006-07-28,2006-07-31,5322.66万,实施方案,--,1.12%
2006中报,2006-08-30,,,不分配不转增,,,--,董事会预案,--,--
2006年报,2007-04-19,2007-06-11,2007-06-26,10派0.4元(含税),2007-06-29,2007-07-02,5610.55万,实施方案,33.33%,0.4%
2007中报,2007-08-16,,,不分配不转增,,,--,董事会预案,--,--
2007年报,2008-04-30,2008-06-18,2008-07-28,10派0.4元(含税),2008-07-31,2008-08-01,5708.91万,实施方案,30.77%,0.46%
2008中报,2008-08-22,,,不分配不转增,,,--,董事会预案,--,--
2008年报,2009-04-29,2009-06-18,2009-07-31,10派0.4元(含税),2009-08-05,2009-08-06,5708.91万,实施方案,25%,0.56%
2009中报,2009-08-24,,,不分配不转增,,,--,董事会预案,--,--
