报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2010年报,2011-03-29,2011-04-19,2011-04-21,10转10股派3元(含税),2011-04-28,2011-04-29,2000.10万,实施方案,32.86%,0.66%
2011中报,2011-08-16,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-03-10,2012-03-31,2012-04-16,10派1.5元(含税),2012-04-20,2012-04-23,2000.10万,实施方案,26.51%,0.76%
2012中报,2012-08-18,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-03-28,2013-05-29,,不分配不转增,,,--,股东大会预案,--,--
2013中报,2013-08-13,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-04-12,2014-06-11,2014-07-10,10转10股,2014-07-16,2014-07-17,--,实施方案,--,--
2014中报,2014-08-09,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-04-16,2015-05-09,2015-05-27,10转10股派0.50元(含税),2015-06-02,2015-06-03,1361.30万,实施方案,21.62%,0.07%
2015中报,2015-07-22,,,不分配不转增,,,--,董事会预案,--,--
2015三季报,2015-10-13,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-04-09,2016-05-11,2016-05-17,10转6股派0.5元(含税),2016-05-23,2016-05-24,2991.88万,实施方案,12.78%,0.17%
2016中报,2016-08-10,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-04-26,2017-06-02,2017-06-30,10派0.50元(含税),2017-07-06,2017-07-07,4914.17万,实施方案,9.01%,0.13%
2017中报,2017-08-29,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-04-18,2018-06-27,2018-07-25,10派0.80元(含税),2018-07-31,2018-08-01,7862.68万,实施方案,8.81%,0.23%
2018中报,2018-07-26,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-25,2019-05-22,,不分配不转增,,,--,股东大会预案,--,--
2019中报,2019-08-28,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-17,2020-05-13,2020-06-16,10派0.5元(含税),2020-06-22,2020-06-23,4843.20万,实施方案,4.77%,0.1%
2020中报,2020-08-06,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-26,2021-05-19,2021-06-02,10派1元(含税),2021-06-08,2021-06-09,9675.69万,实施方案,9.93%,0.35%
2021中报,2021-07-21,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-28,2022-05-23,2022-06-22,10派0.5元(含税),2022-06-27,2022-06-28,4837.84万,实施方案,9.56%,0.31%
2022中报,2022-07-29,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-28,2023-05-22,2023-06-08,10派0.5元(含税),2023-06-15,2023-06-16,4837.84万,实施方案,7.46%,0.25%
2023中报,2023-08-18,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-24,2024-05-16,2024-06-06,10派1元(含税),2024-06-13,2024-06-14,9675.69万,实施方案,18.56%,0.55%
2024中报,2024-08-22,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-04-29,,,10派0.5元(含税),,,4762.34万,董事会预案,7.28%,--
