报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
1998年报,1999-06-22,1999-07-26,1999-09-07,10派0.3元(含税),1999-09-10,1999-09-13,271.01万,实施方案,--,0.2%
1999中报,1999-07-21,,,不分配不转增,,,--,董事会预案,--,--
1999年报,2000-03-16,2000-06-30,,不分配不转增,,,--,股东大会预案,--,--
2000中报,2000-07-26,,,不分配不转增,,,--,董事会预案,--,--
2000年报,2001-03-16,2001-06-29,,不分配不转增,,,--,股东大会预案,--,--
2001中报,2001-08-27,,,不分配不转增,,,--,董事会预案,--,--
2001年报,2002-04-18,2002-06-29,,不分配不转增,,,--,股东大会预案,--,--
2002中报,2002-08-17,2002-09-19,2002-09-20,10送1股转6股派0.25元(含税),2002-09-26,2002-09-27,225.84万,实施方案,27.78%,0.15%
2002年报,2003-04-19,2003-07-19,,不分配不转增,,,--,股东大会预案,--,--
2003中报,2003-08-08,,,不分配不转增,,,--,董事会预案,--,--
2003年报,2004-04-19,2004-05-29,,不分配不转增,,,--,股东大会预案,--,--
2004中报,2004-08-12,,,不分配不转增,,,--,董事会预案,--,--
2004年报,2005-03-10,2005-05-31,,不分配不转增,,,--,股东大会预案,--,--
2005中报,2005-07-29,,,不分配不转增,,,--,董事会预案,--,--
2005年报,2006-02-25,2006-06-30,,不分配不转增,,,--,股东大会预案,--,--
2006-05-31,2006-05-31,2006-06-28,2006-07-18,10转3.41股,2006-07-19,2006-07-20,--,实施方案,--,--
2006中报,2006-08-10,,,不分配不转增,,,--,董事会预案,--,--
2006年报,2007-03-16,2007-04-28,,不分配不转增,,,--,股东大会预案,--,--
2007中报,2007-07-28,,,不分配不转增,,,--,董事会预案,--,--
2007年报,2008-03-01,2008-05-17,,不分配不转增,,,--,股东大会预案,--,--
2008中报,2008-07-30,,,不分配不转增,,,--,董事会预案,--,--
2008年报,2009-02-28,2009-06-26,,不分配不转增,,,--,股东大会预案,--,--
2009中报,2009-07-30,,,不分配不转增,,,--,董事会预案,--,--
2009年报,2010-03-13,2010-05-21,,不分配不转增,,,--,股东大会预案,--,--
2010中报,2010-07-30,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-03-03,2011-05-14,,不分配不转增,,,--,股东大会预案,--,--
2011中报,2011-07-30,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-02-29,2012-05-17,,不分配不转增,,,--,股东大会预案,--,--
2012中报,2012-07-26,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-03-02,2013-03-29,2013-04-10,10派1.00元(含税),2013-04-17,2013-04-18,1802.55万,实施方案,14.93%,0.5%
2013中报,2013-07-26,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-02-28,2014-05-17,2014-06-18,10派1元(含税),2014-06-25,2014-06-26,1802.55万,实施方案,11.76%,0.39%
2014中报,2014-07-25,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-02-14,2015-03-13,2015-04-29,10派1.00元(含税),2015-05-07,2015-05-08,1802.55万,实施方案,8.26%,0.24%
2015中报,2015-07-25,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-02-27,2016-05-26,2016-07-01,10派1.00元(含税),2016-07-07,2016-07-08,1802.55万,实施方案,11.76%,0.28%
2016中报,2016-07-28,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-04-28,2017-05-26,2017-06-08,10送3股派1.50元(含税),2017-06-15,2017-06-16,2703.82万,实施方案,13.64%,0.31%
2017中报,2017-07-28,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-03-15,2018-06-28,2018-07-11,10派2.50元(含税),2018-07-17,2018-07-18,5858.29万,实施方案,24.04%,1.35%
2018中报,2018-08-09,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-03-28,2019-04-26,2019-06-13,10派3.00元(含税),2019-06-20,2019-06-21,7029.94万,实施方案,54.55%,1.5%
2019中报,2019-08-10,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-03-07,2020-05-21,2020-06-16,10派3元(含税),2020-06-23,2020-06-24,7029.94万,实施方案,34.48%,0.91%
2020中报,2020-08-08,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-27,2021-04-23,2021-05-25,10派3.50元(含税),2021-05-31,2021-06-01,8201.60万,实施方案,28.23%,1.17%
2021中报,2021-07-30,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-03-11,2022-04-14,2022-04-20,10派8元(含税),2022-04-26,2022-04-27,1.87亿,实施方案,49.38%,2.55%
2022中报,2022-07-30,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-03-11,2023-04-14,2023-05-05,10派8元(含税),2023-05-11,2023-05-12,1.87亿,实施方案,35.56%,2.14%
2023中报,2023-08-19,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-16,2024-04-17,2024-05-09,10派20元(含税),2024-05-15,2024-05-16,4.69亿,实施方案,80%,--
