报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2015年报,2016-03-31,2016-04-25,,不分配不转增,,,--,股东大会预案,--,--
2016中报,2016-08-26,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-04-21,2017-05-16,,不分配不转增,,,--,股东大会预案,--,--
2017中报,2017-08-11,2017-08-28,2017-09-01,10派2元(含税),2017-09-08,2017-09-11,866.00万,实施方案,64.52%,--
2017年报,2018-06-05,2018-06-27,,不分配不转增,,,--,股东大会预案,--,--
2018中报,2018-08-23,2018-09-10,2018-09-11,10派2.00元(含税),2018-09-18,2018-09-19,866.00万,实施方案,62.5%,--
2020年报,2021-04-26,2021-05-17,2021-05-19,10派4元(含税),2021-05-25,2021-05-26,1862.00万,实施方案,71.43%,--
2021中报,2021-08-27,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-21,2022-05-12,,不分配不转增,,,--,股东大会预案,--,--
2022中报,2022-08-09,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-17,2023-05-10,2023-05-30,10派3元(含税),2023-06-06,2023-06-07,1801.28万,实施方案,45.45%,--
2023中报,2023-08-29,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-25,2024-05-27,2024-06-05,10派0.8元(含税),2024-06-13,2024-06-14,480.34万,实施方案,47.06%,--
