报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2016年报,2017-05-19,2017-06-05,2017-06-08,10转13股,2017-06-15,2017-06-16,--,实施方案,--,--
2019中报,2019-08-16,2019-09-03,2019-09-17,10派5元(含税),2019-09-20,2019-09-23,3306.26万,实施方案,17.67%,0.36%
2019年报,2020-04-28,2020-05-22,2020-05-29,10转6股派5元(含税),2020-06-03,2020-06-04,3306.26万,实施方案,9.71%,0.39%
2020中报,2020-08-14,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-23,2021-05-14,2021-05-26,10派7.5元(含税),2021-05-31,2021-06-01,7935.02万,实施方案,21.25%,0.59%
2021中报,2021-08-26,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-27,2022-05-20,2022-05-28,10转6股派7.5元(含税),2022-06-06,2022-06-07,7970.47万,实施方案,20.83%,0.31%
2022中报,2022-08-26,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-27,2023-05-22,2023-06-08,10转6股派4.7元(含税),2023-06-14,2023-06-15,8021.59万,实施方案,19.42%,0.5%
2023中报,2023-08-18,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-26,2024-05-17,2024-05-23,10派3.5元(含税),2024-05-29,2024-05-30,9520.70万,实施方案,20.71%,--
