报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2016年报,2017-04-26,2017-05-18,2017-05-22,10派1.4元(含税),2017-05-26,2017-05-31,350.00万,实施方案,14.29%,--
2017中报,2017-08-28,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-04-26,2018-05-22,2018-05-29,10转8股派1.8188元(含税),2018-06-05,2018-06-06,499.99万,实施方案,26.36%,--
2018中报,2018-08-28,2018-09-14,2018-09-20,10派2.0200元(含税),2018-09-27,2018-09-28,999.54万,实施方案,40.4%,--
2018年报,2019-04-24,2019-05-17,2019-05-23,10派2元(含税),2019-05-30,2019-05-31,989.64万,实施方案,20%,--
2019中报,2019-08-28,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-29,2020-05-22,2020-06-04,10派3.0元(含税),2020-06-10,2020-06-11,1516.56万,实施方案,29.41%,--
2020中报,2020-10-29,2020-11-16,,10送6股转4股,,,--,取消分红,--,--
2020年报,2021-04-29,2021-05-21,,不分配不转增,,,--,股东大会预案,--,--
2021中报,2021-08-31,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-03-15,2022-04-08,,不分配不转增,,,--,股东大会预案,--,--
2022中报,2022-08-25,2022-09-09,2022-09-14,10派5元(含税),2022-09-21,2022-09-22,3470.60万,实施方案,32.05%,1.02%
2022年报,2023-04-26,2023-05-18,2023-05-20,10转5股派3元(含税),2023-05-26,2023-05-29,2082.36万,实施方案,13.64%,0.59%
2023中报,2023-08-30,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-24,2024-05-15,2024-05-18,10转3股派2元(含税),2024-05-23,2024-05-24,2067.53万,实施方案,25.32%,--
