报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
2006年报,2007-04-12,2007-06-08,2007-06-15,10派2.2元(含税),2007-06-21,2007-06-22,16.16亿,实施方案,18.49%,0.3%
2007中报,2007-08-17,,2007-08-28,10派2元(含税),2007-08-31,2007-09-03,14.69亿,实施方案,17.24%,0.2%
2007年报,2008-03-20,2008-05-14,2008-05-19,10派5元(含税),2008-05-22,2008-05-23,36.73亿,实施方案,23.7%,0.89%
2008中报,2008-08-16,,2008-09-19,10派2元(含税),2008-09-26,2008-10-06,14.69亿,实施方案,20.62%,0.6%
2008年报,2009-04-09,2009-06-04,,不分配不转增,,,--,股东大会预案,--,--
2009中报,2009-08-15,,2009-08-26,10派1.5元(含税),2009-08-31,2009-09-01,11.02亿,实施方案,25.42%,0.35%
2009年报,2010-04-17,2010-06-30,2010-07-07,10派3元(含税),2010-07-12,2010-07-13,22.93亿,实施方案,15.87%,0.64%
2010中报,2010-08-25,,2010-09-03,10派1.5元(含税),2010-09-08,2010-09-09,11.47亿,实施方案,11.54%,0.3%
2010年报,2011-03-30,2011-06-17,2011-07-13,10派4元(含税),2011-07-20,2011-07-21,31.66亿,实施方案,17.39%,0.85%
2011中报,2011-08-18,,2011-08-27,10派1.5元(含税),2011-09-01,2011-09-02,11.87亿,实施方案,8.98%,0.36%
2011年报,2012-03-16,2012-06-28,2012-07-10,10派2.5元(含税),2012-07-13,2012-07-16,19.79亿,实施方案,10%,0.56%
2012中报,2012-08-24,,2012-09-20,10派1.5元(含税),2012-09-25,2012-09-26,11.87亿,实施方案,8.52%,0.37%
2012年报,2013-03-15,2013-05-11,2013-05-14,10派3元(含税),2013-05-17,2013-05-20,23.75亿,实施方案,11.86%,0.74%
2013中报,2013-08-30,,2013-09-04,10派2元(含税),2013-09-09,2013-09-10,15.83亿,实施方案,8.85%,0.53%
2013年报,2014-03-14,2014-06-13,2014-06-20,10派4.5元(含税),2014-06-26,2014-06-27,35.62亿,实施方案,12.64%,1.13%
2014中报,2014-08-20,,2014-09-05,10派2.5元(含税),2014-09-11,2014-09-12,19.79亿,实施方案,9.26%,0.58%
2014年报,2015-03-20,2015-06-16,2015-07-18,10转10股派5.0元(含税),2015-07-24,2015-07-27,45.70亿,实施方案,10.14%,0.62%
2015中报,2015-08-21,,2015-08-29,10派1.80元(含税),2015-09-08,2015-09-09,32.90亿,实施方案,9.47%,0.6%
2015年报,2016-03-16,2016-06-16,2016-06-28,10派3.50元(含税),2016-07-04,2016-07-05,63.98亿,实施方案,11.74%,1.08%
2016中报,2016-08-18,,2016-08-27,10派2元(含税),2016-09-02,2016-09-05,36.56亿,实施方案,8.77%,0.57%
2016年报,2017-03-23,2017-06-17,2017-07-04,10派5.5元(含税),2017-07-10,2017-07-11,100.54亿,实施方案,15.71%,1.08%
2017中报,2017-08-18,,2017-08-26,10派5元(含税),2017-09-01,2017-09-04,91.40亿,实施方案,20.58%,0.89%
2017年报,2018-03-21,2018-05-24,2018-05-31,10派10元(含税),2018-06-06,2018-06-07,182.80亿,实施方案,20.04%,1.57%
2018-04-27,2018-04-27,2018-05-24,2018-05-31,10派2元(含税),2018-06-06,2018-06-07,36.56亿,实施方案,--,--
2018中报,2018-08-22,,2018-08-30,10派6.2元(含税),2018-09-05,2018-09-06,113.34亿,实施方案,19.02%,0.99%
2018年报,2019-03-13,2019-04-30,2019-05-17,10派11元(含税),2019-05-22,2019-05-23,201.08亿,实施方案,18.27%,1.42%
2019中报,2019-08-16,,2019-08-29,10派7.5元(含税),2019-09-03,2019-09-04,137.10亿,实施方案,13.69%,0.85%
2019年报,2020-02-21,2020-04-10,2020-04-29,10派13元(含税),2020-05-07,2020-05-08,237.64亿,实施方案,15.46%,1.78%
2020中报,2020-08-28,,2020-09-10,10派8元(含税),2020-09-15,2020-09-16,146.24亿,实施方案,20.62%,1%
2020年报,2021-02-04,2021-03-26,2021-04-15,10派14元(含税),2021-04-21,2021-04-22,255.92亿,实施方案,17.28%,1.85%
2021中报,2021-08-27,,2021-10-16,10派8.8元(含税),2021-10-22,2021-10-25,160.87亿,实施方案,26.75%,1.62%
2021年报,2022-03-18,2022-04-30,2022-06-11,10派15元(含税),2022-06-17,2022-06-20,274.20亿,实施方案,26%,3.19%
2022中报,2022-08-24,,2022-10-13,10派9.2元(含税),2022-10-19,2022-10-20,168.18亿,实施方案,26.67%,2.23%
2022年报,2023-03-16,2023-05-13,2023-06-07,10派15元(含税),2023-06-13,2023-06-14,274.20亿,实施方案,31.25%,3.02%
2023中报,2023-08-30,,2023-10-18,10派9.3元(含税),2023-10-24,2023-10-25,169.36亿,实施方案,23.6%,2.02%
2023年报,2024-03-22,2024-05-31,2024-07-19,10派15元(含税),2024-07-25,2024-07-26,273.15亿,实施方案,30.99%,3.52%
2024中报,2024-08-23,,2024-10-11,10派9.3元(含税),2024-10-17,2024-10-18,169.36亿,实施方案,22.09%,1.63%
2024年报,2025-03-20,2025-05-14,,10派16.2元(含税),2025-06-27,2025-06-30,295.01亿,股东大会预案,22.63%,--
