报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2019中报,2019-08-26,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-09,2020-05-06,2020-05-15,10派2.40元(含税),2020-05-20,2020-05-21,3840.00万,实施方案,25.81%,0.47%
2020中报,2020-08-14,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-09,2021-04-30,2021-05-13,10派4.5元(含税),2021-05-19,2021-05-20,7200.00万,实施方案,30.41%,1.41%
2021中报,2021-08-19,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-08,2022-04-29,2022-05-12,10派4.7元(含税),2022-05-18,2022-05-19,8791.58万,实施方案,26.86%,1.98%
2022中报,2022-08-27,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-08,2023-04-29,2023-05-12,10派3.7元(含税),2023-05-18,2023-05-19,6953.91万,实施方案,30.33%,1.89%
2023中报,2023-08-30,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-20,2024-05-11,2024-05-18,10派2元(含税),2024-05-23,2024-05-24,3773.61万,实施方案,42.55%,0.88%
2024中报,2024-08-31,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-04-26,2025-05-20,,10派2.3元(含税),,,4339.66万,股东大会预案,52.27%,--
