报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2014年报,2015-03-12,2015-04-08,2015-04-13,10转10股派5.00元(含税),2015-04-17,2015-04-20,6221.50万,实施方案,24.75%,0.47%
2015中报,2015-08-19,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-03-31,2016-04-21,2016-04-26,10转10股派3.00元(含税),2016-04-29,2016-05-03,7495.12万,实施方案,30.61%,0.71%
2016中报,2016-08-25,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-03-28,2017-04-18,2017-04-20,10派3.00元(含税),2017-04-27,2017-04-28,1.50亿,实施方案,54.55%,1.74%
2017中报,2017-08-29,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-03-30,2018-04-19,2018-04-27,10派1.505684元,2018-05-04,2018-05-07,7527.56万,实施方案,27.38%,0.81%
2018中报,2018-08-30,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-03-29,2019-04-19,2019-04-23,10派1.5元(含税),2019-04-29,2019-04-30,7454.03万,实施方案,25%,0.91%
2019中报,2019-08-30,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-03-26,2020-04-15,2020-04-17,10派1.5元(含税),2020-04-23,2020-04-24,7454.03万,实施方案,22.73%,0.78%
2020中报,2020-08-28,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-20,2021-05-10,2021-05-20,10派0.993419元(含税),2021-05-26,2021-05-27,5841.44万,实施方案,47.3%,0.51%
2021中报,2021-08-27,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-27,2022-05-18,2022-05-20,10派1元(含税),2022-05-26,2022-05-27,5881.38万,实施方案,14.49%,0.61%
2022中报,2022-08-27,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-20,2023-05-11,2023-05-15,10派1元(含税),2023-05-19,2023-05-22,5859.82万,实施方案,14.93%,0.44%
2023中报,2023-08-10,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-30,2024-04-22,2024-04-25,10派2元(含税),2024-05-06,2024-05-07,1.17亿,实施方案,22.22%,1.06%
2024中报,2024-08-23,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-03-29,2025-04-21,2025-04-24,10派4元(含税),2025-04-30,2025-05-06,2.34亿,实施方案,43.48%,--
2025中报,2025-03-29,2025-04-21,,不超过相应期间归属于公司股东的净利润。,,,--,股东大会预案,--,--
