报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
1993年报,1994-03-21,1994-03-23,1994-04-23,10送4股派3元,1994-04-29,1994-05-03,1.98亿,实施方案,--,6.77%
1994年报,1995-04-01,1995-05-06,1995-06-24,10派2.5元(含税),1995-06-30,1995-07-03,1.74亿,实施方案,--,9.84%
1995年报,1996-05-21,1996-06-23,1996-08-20,10派2.5元(含税),1996-08-23,1996-08-26,1.93亿,实施方案,--,3.72%
1996年报,1997-04-22,1997-05-23,1997-06-19,10送1股,1997-06-27,1997-07-02,--,实施方案,--,--
1997年报,1998-04-02,1998-06-27,1998-08-22,10派2.2元(含税),1998-08-26,1998-08-27,2.21亿,实施方案,100%,4.44%
1998年报,1999-04-10,1999-06-30,1999-08-20,10派1元(含税),1999-08-25,1999-08-26,1.00亿,实施方案,--,1.75%
1999中报,1999-08-12,,,不分配不转增,,,--,董事会预案,--,--
1999年报,2000-04-12,2000-05-19,,不分配不转增,,,--,股东大会预案,--,--
2000中报,2000-08-05,,,不分配不转增,,,--,董事会预案,--,--
2000年报,2001-04-20,2001-06-09,2001-07-21,10派0.5元(含税),2001-07-26,2001-07-27,5846.97万,实施方案,50%,0.79%
2001中报,2001-08-11,,,不分配不转增,,,--,董事会预案,--,--
2001年报,2002-03-29,2002-06-29,2002-08-14,10派0.5元(含税),2002-08-19,2002-08-20,5846.97万,实施方案,41.67%,0.83%
2002中报,2002-08-14,,,不分配不转增,,,--,董事会预案,--,--
2002年报,2003-03-29,2003-06-26,,不分配不转增,,,--,股东大会预案,--,--
2003中报,2003-08-30,2003-12-30,2004-01-07,10派0.5元(含税),2004-01-12,2004-01-13,5846.97万,实施方案,33.33%,0.88%
2003年报,2004-03-26,2004-06-29,2004-07-28,10派0.3元(含税),2004-08-02,2004-08-03,3508.18万,实施方案,16.67%,0.56%
2004中报,2004-08-31,,,不分配不转增,,,--,董事会预案,--,--
2004年报,2005-04-23,2005-06-25,2005-08-11,10派0.4元(含税),2005-08-16,2005-08-17,3047.64万,实施方案,80%,1.75%
2005中报,2005-08-20,,,不分配不转增,,,--,董事会预案,--,--
2005年报,2006-04-22,2006-06-21,,不分配不转增,,,--,股东大会预案,--,--
2006-07-07,2006-07-07,2006-08-08,2006-08-11,10转3.5股,2006-08-14,2006-08-15,--,实施方案,--,--
2006中报,2006-08-26,,,不分配不转增,,,--,董事会预案,--,--
2006年报,2007-04-28,2007-06-28,,不分配不转增,,,--,股东大会预案,--,--
2007中报,2007-08-25,,,不分配不转增,,,--,董事会预案,--,--
2007年报,2008-03-29,2008-05-10,,不分配不转增,,,--,股东大会预案,--,--
2008中报,2008-08-16,,,不分配不转增,,,--,董事会预案,--,--
2008年报,2009-04-11,2009-05-27,,不分配不转增,,,--,股东大会预案,--,--
2009中报,2009-08-15,,,不分配不转增,,,--,董事会预案,--,--
2009年报,2010-03-16,2010-06-30,,不分配不转增,,,--,股东大会预案,--,--
2010中报,2010-08-21,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-04-01,2011-06-24,,不分配不转增,,,--,股东大会预案,--,--
2011中报,2011-08-27,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-04-28,2012-06-27,,不分配不转增,,,--,股东大会预案,--,--
2012中报,2012-08-25,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-04-10,2013-06-21,2013-08-08,10派0.37元(含税),2013-08-13,2013-08-14,5100.74万,实施方案,231.25%,0.71%
2013中报,2013-08-22,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-04-12,2014-06-28,,不分配不转增,,,--,股东大会预案,--,--
2014中报,2014-08-16,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-04-22,2015-05-20,,不分配不转增,,,--,股东大会预案,--,--
2015中报,2015-08-19,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-03-19,2016-05-13,2016-06-15,10派0.20元(含税),2016-06-20,2016-06-21,3261.61万,实施方案,51.28%,0.33%
2016中报,2016-08-20,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-03-18,2017-06-29,2017-08-19,10派0.20元(含税),2017-08-24,2017-08-25,3261.61万,实施方案,60.61%,0.34%
2017中报,2017-08-12,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-03-31,2018-06-23,2018-08-10,10派0.10元(含税),2018-08-16,2018-08-17,1630.80万,实施方案,83.33%,0.22%
2018中报,2018-08-10,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-03-23,2019-05-23,2019-06-04,10派0.30元(含税),2019-06-11,2019-06-12,4892.41万,实施方案,32.61%,0.7%
2019中报,2019-08-10,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-03-31,2020-06-30,2020-07-22,10派0.30元(含税),2020-07-29,2020-07-30,4892.41万,实施方案,31.91%,0.19%
2020中报,2020-08-08,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-29,2021-06-17,2021-07-01,10派0.2852元(含税),2021-07-07,2021-07-08,4893.26万,实施方案,47.53%,0.27%
2021中报,2021-08-25,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-28,2022-06-28,2022-07-13,10派0.6元(含税),2022-07-19,2022-07-20,1.03亿,实施方案,545.45%,0.93%
2022中报,2022-08-27,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-22,2023-06-07,,不分配不转增,,,--,股东大会预案,--,--
2023中报,2023-08-19,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-30,2024-06-27,2024-07-12,10派0.1元(含税),2024-07-17,2024-07-18,1715.73万,实施方案,333.33%,0.22%
2024中报,2024-08-14,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-03-28,,,10派0.3元(含税),,,5147.19万,董事会预案,40.54%,--
