报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
2009中报,2009-08-19,,2009-08-29,10派1.3元(含税),2009-09-03,2009-09-04,3.98亿,实施方案,80.3%,1.64%
2009年报,2010-03-10,2010-05-13,2010-06-09,10派0.64元(含税),2010-06-17,2010-06-18,1.96亿,实施方案,21.4%,0.86%
2010中报,2010-08-20,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-03-23,2011-05-26,2011-06-03,10派0.87元(含税),2011-06-10,2011-06-13,2.66亿,实施方案,23.23%,1.48%
2011中报,2011-08-31,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-03-29,2012-05-30,2012-06-06,10派0.9元(含税),2012-06-12,2012-06-13,2.75亿,实施方案,21.1%,2.43%
2012中报,2012-08-31,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-03-29,2013-05-29,2013-06-06,10派0.8元(含税),2013-06-14,2013-06-17,2.45亿,实施方案,20.71%,2.65%
2013中报,2013-08-30,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-03-28,2014-05-29,2014-06-17,10派0.80元(含税),2014-06-23,2014-06-24,2.45亿,实施方案,24.21%,2.92%
2014中报,2014-08-29,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-03-27,2015-05-30,2015-06-08,10派0.8元(含税),2015-06-11,2015-06-12,2.45亿,实施方案,25.24%,0.92%
2015中报,2015-08-28,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-03-31,2016-06-01,2016-06-08,10派0.8元(含税),2016-06-15,2016-06-16,2.45亿,实施方案,24.57%,1.65%
2016中报,2016-08-31,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-03-31,2017-06-07,2017-06-16,10派1.1元(含税),2017-06-22,2017-06-23,3.36亿,实施方案,32.13%,2.3%
2017中报,2017-08-31,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-03-30,2018-06-06,2018-06-15,10派1元(含税),2018-06-21,2018-06-22,3.06亿,实施方案,34.42%,2.83%
2018中报,2018-08-29,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-03-29,2019-06-06,2019-06-18,10派1元(含税),2019-06-21,2019-06-24,3.06亿,实施方案,36.01%,2.34%
2019中报,2019-08-30,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-03-31,2020-06-04,2020-06-15,10派1.1元(含税),2020-06-18,2020-06-19,3.36亿,实施方案,31.07%,3.1%
2020中报,2020-08-28,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-31,2021-05-26,2021-06-03,10派0.8元(含税),2021-06-08,2021-06-09,2.45亿,实施方案,36.26%,2.48%
2021中报,2021-08-27,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-03-31,2022-05-26,2022-06-08,10派1.1元(含税),2022-06-14,2022-06-15,3.36亿,实施方案,18%,2.54%
2022中报,2022-08-26,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-03-31,2023-05-26,2023-06-08,10派1元(含税),2023-06-14,2023-06-15,3.06亿,实施方案,40.13%,2.46%
2023中报,2023-08-30,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-28,2024-05-24,2024-06-06,10派2.4元(含税),2024-06-12,2024-06-13,7.34亿,实施方案,61.84%,4.3%
2024中报,2024-08-30,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-03-29,2025-05-23,,10派2.90元(含税),,,6.27亿,股东大会预案,60.78%,--
