报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2018中报,2018-07-17,2018-08-02,2018-08-09,10派10元(含税),2018-08-15,2018-08-16,4.01亿,实施方案,101.01%,3.07%
2018年报,2019-04-13,2019-05-07,2019-05-21,10派10元(含税),2019-05-28,2019-05-29,4.01亿,实施方案,64.52%,4.03%
2019中报,2019-08-28,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-08,2020-04-29,2020-05-15,10转2股派10元(含税),2020-05-21,2020-05-22,4.01亿,实施方案,64.1%,4.5%
2020中报,2020-08-26,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-28,2021-06-01,2021-07-20,10派8.0元(含税),2021-07-26,2021-07-27,3.84亿,实施方案,61.07%,3.45%
2021中报,2021-08-26,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-28,2022-06-01,2022-07-19,10派10元(含税),2022-07-25,2022-07-26,4.80亿,实施方案,69.44%,6.37%
2022中报,2022-08-26,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-28,2023-05-23,2023-06-15,10派7元(含税),2023-06-20,2023-06-21,3.31亿,实施方案,87.5%,4.71%
2023中报,2023-08-26,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-26,2024-05-23,2024-06-26,10派8元(含税),2024-07-01,2024-07-02,3.81亿,实施方案,76.92%,6.24%
2024中报,2024-08-28,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-04-29,,,10派5元(含税),,,2.35亿,董事会预案,76.92%,--
