报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
2020中报,2020-08-26,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-26,2021-05-28,2021-06-16,10派0.5元(含税),2021-06-22,2021-06-23,5215.00万,实施方案,29.41%,0.27%
2021中报,2021-08-12,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-03-29,2022-06-30,2022-07-12,10派0.7元(含税),2022-07-19,2022-07-20,7203.00万,实施方案,33.33%,0.7%
2022中报,2022-08-26,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-03-28,2023-05-31,2023-06-29,10派0.7元(含税),2023-07-06,2023-07-07,7256.00万,实施方案,53.85%,0.81%
2023中报,2023-08-11,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-29,2024-06-28,2024-07-06,10派0.7元(含税),2024-07-11,2024-07-12,7256.00万,实施方案,63.64%,1.09%
2024中报,2024-08-13,,2024-08-22,10派0.2元(含税),2024-08-29,2024-08-30,2073.14万,实施方案,28.57%,0.3%
2024年报,2025-03-28,,,10派0.3元(含税),,,2131.72万,董事会预案,75%,--
