报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2020年报,2021-04-21,2021-05-12,2021-06-09,10派1.8元(含税),2021-06-15,2021-06-16,1414.80万,实施方案,18.37%,0.59%
2021中报,2021-08-26,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-26,2022-05-17,2022-06-16,10派2.8元(含税),2022-06-22,2022-06-23,2183.16万,实施方案,29.17%,1.22%
2022中报,2022-08-25,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-24,2023-05-16,2023-06-17,10派2.8元(含税),2023-06-26,2023-06-27,2200.80万,实施方案,43.75%,1.31%
2023中报,2023-08-29,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-23,2024-05-13,2024-05-31,10派4.5元(含税),2024-06-06,2024-06-07,3514.50万,实施方案,75%,--
