报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
2001中报,2001-08-27,,,不分配不转增,,,--,董事会预案,--,--
2001年报,2002-04-02,2002-06-14,2002-07-16,10派0.8元(含税),2002-07-19,2002-07-22,69.36亿,实施方案,48.48%,2.16%
2002中报,2002-08-19,2002-09-17,2002-09-17,10派0.2元(含税),2002-09-20,2002-09-23,17.34亿,实施方案,--,0.57%
2002年报,2003-03-31,2003-06-11,2003-06-17,10派0.6元(含税),2003-06-20,2003-06-23,52.02亿,实施方案,36.81%,1.53%
2003中报,2003-08-25,,2003-09-15,10派0.3元(含税),2003-09-19,2003-09-22,26.01亿,实施方案,26.55%,0.86%
2003年报,2004-03-29,2004-05-19,2004-06-01,10派0.6元(含税),2004-06-04,2004-06-07,52.02亿,实施方案,27.4%,1.21%
2004中报,2004-08-30,,2004-09-15,10派0.4元(含税),2004-09-20,2004-09-21,34.68亿,实施方案,23.12%,0.82%
2004年报,2005-03-29,2005-05-19,2005-05-31,10派0.8元(含税),2005-06-03,2005-06-06,69.36亿,实施方案,21.51%,2.41%
2005中报,2005-08-29,,2005-09-15,10派0.4元(含税),2005-09-20,2005-09-21,34.68亿,实施方案,19.23%,0.95%
2005年报,2006-04-03,2006-05-25,2006-06-13,10派0.9元(含税),2006-06-16,2006-06-19,78.03亿,实施方案,19.74%,1.54%
2006中报,2006-08-28,,2006-09-08,10派0.4元(含税),2006-09-13,2006-09-14,34.68亿,实施方案,16.74%,0.59%
2006年报,2007-04-10,2007-05-30,2007-06-12,10派1.1元(含税),2007-06-15,2007-06-18,95.37亿,实施方案,18.33%,0.76%
2007中报,2007-08-27,,2007-09-13,10派0.5元(含税),2007-09-18,2007-09-19,43.35亿,实施方案,12.41%,0.3%
2007年报,2008-04-07,2008-05-27,2008-06-10,10派1.15元(含税),2008-06-13,2008-06-16,99.71亿,实施方案,18.14%,1.02%
2008中报,2008-08-25,,2008-09-16,10派0.3元(含税),2008-09-19,2008-09-22,26.01亿,实施方案,27.78%,0.3%
