报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
2019中报,2019-08-27,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-03-26,2020-06-13,2020-06-23,10派2.0元(含税),2020-07-02,2020-07-03,21.18亿,实施方案,52.63%,3.06%
2020中报,2020-08-31,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-29,2021-06-12,2021-07-08,10派2.0元(含税),2021-07-14,2021-07-15,21.18亿,实施方案,58.82%,3.57%
2021中报,2021-08-26,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-03-28,2022-06-11,2022-07-13,10派1.7元(含税),2022-07-18,2022-07-19,18.00亿,实施方案,56.67%,3.79%
2022中报,2022-08-30,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-03-24,2023-06-10,2023-07-14,10派1.7元(含税),2023-07-19,2023-07-20,18.00亿,实施方案,51.52%,2.81%
2023中报,2023-08-25,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-27,2024-06-14,,10派1.7元(含税),,,14.66亿,股东大会预案,53.12%,--
