报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2016年报,2017-03-17,2017-04-10,2017-05-16,10派1.10元(含税),2017-05-23,2017-05-24,1079.10万,实施方案,15.94%,0.34%
2017中报,2017-08-29,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-04-17,2018-05-18,2018-05-31,10转4股派2.00元(含税),2018-06-05,2018-06-06,2060.00万,实施方案,29.85%,0.71%
2018中报,2018-08-17,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-11,2019-05-21,,不分配不转增,,,--,股东大会预案,--,--
2019中报,2019-08-30,2019-09-18,2019-09-24,10派0.6元(含税),2019-09-27,2019-09-30,1543.75万,实施方案,7.5%,0.33%
2019年报,2020-03-31,2020-05-14,2020-06-02,10转4股派0.5元(含税),2020-06-05,2020-06-08,1341.36万,实施方案,3.16%,0.17%
2020中报,2020-08-28,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-31,2021-06-01,2021-06-18,10转2股派1.00元(含税),2021-06-23,2021-06-24,3755.87万,实施方案,9.52%,0.79%
2021中报,2021-08-27,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-30,2022-06-28,,不分配不转增,,,--,股东大会预案,--,--
2022中报,2022-08-27,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-21,2023-05-17,,不分配不转增,,,--,股东大会预案,--,--
2023中报,2023-08-05,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-30,2024-06-19,,不分配不转增,,,--,股东大会预案,--,--
2024中报,2024-08-30,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-04-30,,,不分配不转增,,,--,董事会预案,--,--
