报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2016年报,2017-04-24,2017-05-17,,不分配不转增,,,--,股东大会预案,--,--
2017中报,2017-08-23,,,不分配不转增,,,--,董事会预案,--,--
2021中报,2021-08-27,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-15,2022-05-13,2022-06-22,10派3元(含税),2022-06-29,2022-06-30,2318.95万,实施方案,35.71%,0.94%
2022中报,2022-08-12,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-24,2023-05-16,,不分配不转增,,,--,股东大会预案,--,--
2023中报,2023-08-29,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-27,2024-05-24,2024-06-06,10派3元(含税),2024-06-13,2024-06-14,2289.85万,实施方案,479.23%,0.93%
2024中报,2024-08-30,2024-09-19,2024-10-08,10派1元(含税),2024-10-14,2024-10-15,763.28万,实施方案,50%,0.26%
2024年报,2025-04-26,,,10派1元(含税),,,763.28万,董事会预案,32.55%,--
