报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,B股股权登记日,B股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2022年报,2023-04-17,2023-05-09,2023-05-11,10派4元(含税),,,4320.00万,实施方案,117.65%,--
2023中报,2023-08-29,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-07,2024-03-28,,不分配不转增,,,--,股东大会预案,--,--
2024中报,2024-08-09,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-04-24,2025-05-19,,10派2元(含税),,,3103.09万,股东大会预案,19.61%,--
