报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
1994年报,1995-02-22,1995-05-04,1995-05-04,10派2.18元,1995-05-09,1995-05-10,1264.00万,实施方案,--,2.07%
1995年报,1996-03-30,1996-05-06,1996-05-06,10派1.9元(含税),1996-05-09,1996-05-10,1101.00万,实施方案,--,2.43%
1996年报,1997-04-22,1997-06-03,1997-06-03,10转增5股派1.2元(含税),1997-06-06,1997-06-09,904.00万,实施方案,--,0.98%
1997年报,1998-04-02,1998-07-06,1998-08-18,10派1.5元(含税),1998-05-29,1998-06-01,1695.52万,实施方案,44.64%,0.95%
1998年报,1999-03-12,1999-04-29,1999-04-29,10送3转增2股,1999-05-05,1999-05-06,--,实施方案,--,--
1999中报,1999-07-28,,,不分配不转增,,,--,董事会预案,--,--
1999年报,2000-03-23,2000-07-01,2000-08-16,10派1元(含税),2000-08-18,2000-08-21,2296.00万,实施方案,--,0.42%
2000中报,2000-08-12,,,不分配不转增,,,--,董事会预案,--,--
2000年报,2001-02-28,2001-04-28,2001-05-08,10转2股派1元(含税),2001-05-14,2001-05-15,2295.52万,实施方案,12.42%,0.48%
2001中报,2001-08-28,,,不分配不转增,,,--,董事会预案,--,--
2001年报,2002-04-15,2002-06-28,2002-07-22,10派0.9元(含税),2002-07-25,2002-07-26,2845.86万,实施方案,17.65%,0.66%
2002中报,2002-08-23,,,不分配不转增,,,--,董事会预案,--,--
2002年报,2003-04-25,2003-06-12,2003-06-14,10股转增5股派2元(含税),2003-06-18,2003-06-19,6324.14万,实施方案,--,1.41%
2003中报,2003-08-23,,,不分配不转增,,,--,董事会预案,--,--
2003年报,2004-03-29,2004-06-30,2004-08-16,10派0.9元(含税),2004-08-19,2004-08-20,4268.80万,实施方案,--,1.71%
2004中报,2004-08-21,,,不分配不转增,,,--,董事会预案,--,--
2004年报,2005-04-27,2005-07-01,2005-08-15,10派0.8元(含税),2005-08-18,2005-08-19,3794.49万,实施方案,40%,2.05%
2005中报,2005-08-27,,,不分配不转增,,,--,董事会预案,--,--
2005年报,2006-04-28,2006-06-30,2006-08-15,10派0.25元(含税),2006-08-18,2006-08-21,1185.78万,实施方案,--,0.44%
2006中报,2006-08-16,,,不分配不转增,,,--,董事会预案,--,--
2006年报,2007-03-31,2007-06-21,2007-08-10,10转2股,2007-08-15,2007-08-16,--,实施方案,--,--
2007中报,2007-08-25,,,不分配不转增,,,--,董事会预案,--,--
