报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2020年报,2021-04-20,2021-05-15,2021-05-25,10派1.69元(含税),2021-05-28,2021-05-31,5272.80万,实施方案,22.53%,0.68%
2021中报,2021-08-16,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-12,2022-05-07,2022-05-16,10转4.8股派2.06元(含税),2022-05-19,2022-05-20,6427.20万,实施方案,28.22%,1.42%
2022中报,2022-08-18,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-26,2023-05-18,,不分配不转增,,,--,股东大会预案,--,--
2023中报,2023-08-29,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-20,2024-04-13,2024-05-21,10派2.7元(含税),2024-05-24,2024-05-27,1.25亿,实施方案,51.92%,--
