报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,B股股权登记日,B股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2015年报,2016-04-11,2016-05-05,,不分配不转增,,,--,股东大会预案,--,--
2016中报,2016-08-22,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-04-20,2017-05-22,,不分配不转增,,,--,股东大会预案,--,--
2017中报,2017-08-21,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-20,2023-05-12,,不分配不转增,,,--,股东大会预案,--,--
2023中报,2023-08-25,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-24,2024-05-15,,不分配不转增,,,--,股东大会预案,--,--
2024中报,2024-08-15,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-04-25,2025-05-16,,10派3元(含税),,,2439.61万,股东大会预案,22.56%,--
