报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
2006年报,2007-06-12,2007-06-30,2007-08-22,10派1.3元(含税),2007-08-29,2007-08-30,6768.50万,实施方案,5.78%,0.13%
2007中报,2007-08-29,,,不分配不转增,,,--,董事会预案,--,--
2007年报,2008-04-30,2008-06-20,2008-08-08,10派4.4元(含税),2008-08-14,2008-08-15,2.29亿,实施方案,9.95%,1.23%
2008中报,2008-08-21,2008-11-04,2008-12-08,10转6股,2008-12-15,2008-12-16,--,实施方案,--,--
2008年报,2009-04-28,2009-06-20,2009-07-31,10派1.3元(含税),2009-08-06,2009-08-07,1.08亿,实施方案,5.6%,0.3%
2009中报,2009-08-29,,,不分配不转增,,,--,董事会预案,--,--
2009年报,2010-04-27,2010-06-18,2010-07-31,10派4.8元(含税),2010-08-05,2010-08-06,4.00亿,实施方案,11.74%,0.69%
2010中报,2010-08-24,2010-10-27,2010-11-29,10转10股,2010-12-03,2010-12-06,--,实施方案,--,--
2010年报,2011-03-31,2011-05-19,2011-07-01,10派4.3元(含税),2011-07-07,2011-07-08,7.16亿,实施方案,10.57%,0.91%
2011中报,2011-08-30,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-03-30,2012-06-30,2012-08-11,10送2股派1元(含税),2012-08-16,2012-08-17,1.67亿,实施方案,2.98%,0.43%
2012中报,2012-08-31,,2012-10-12,10派1元(含税),2012-10-17,2012-10-18,2.00亿,实施方案,8.77%,0.5%
2012年报,2013-03-22,2013-06-25,2013-08-13,10派2.30元(含税),2013-08-19,2013-08-20,4.60亿,实施方案,15.33%,1.18%
2013中报,2013-08-30,,2013-10-11,10派1.00元(含税),2013-10-17,2013-10-18,2.00亿,实施方案,9.62%,0.51%
2013年报,2014-03-31,2014-07-01,2014-08-20,10派1.5元(含税),2014-08-26,2014-08-27,3.00亿,实施方案,8.38%,0.74%
2014中报,2014-08-30,,2014-10-17,10派1.00元(含税),2014-10-23,2014-10-24,2.00亿,实施方案,5.32%,0.51%
2014年报,2015-03-31,2015-07-01,2015-08-13,10转10股派1.50元(含税),2015-08-19,2015-08-20,3.00亿,实施方案,5.98%,0.61%
2015中报,2015-08-28,,2015-10-14,10派1.0元(含税),2015-10-19,2015-10-20,4.00亿,实施方案,41.67%,1.06%
2015年报,2016-03-31,2016-06-08,2016-07-23,10派1.00元(含税),2016-07-28,2016-07-29,4.00亿,实施方案,28.57%,1.14%
2016中报,2016-08-31,,2016-10-14,10派1.00元(含税),2016-10-19,2016-10-20,4.00亿,实施方案,38.46%,1.08%
2016年报,2017-03-30,2017-06-09,2017-07-14,10送10股派2.50元(含税),2017-07-20,2017-07-21,10.00亿,实施方案,40.98%,1.76%
2017中报,2017-08-31,,2017-10-14,10派1.50元(含税),2017-10-19,2017-10-20,12.00亿,实施方案,45.45%,1.98%
2017年报,2018-03-29,2018-06-15,2018-07-25,10派2.50元(含税),2018-07-30,2018-07-31,19.99亿,实施方案,29.41%,2.86%
2018中报,2018-08-29,,2018-10-16,10派1.80元(含税),2018-10-22,2018-10-23,14.40亿,实施方案,32.73%,2.2%
2018年报,2019-03-26,2019-06-21,2019-07-24,10派2.80元(含税),2019-07-30,2019-07-31,22.21亿,实施方案,25.93%,2.21%
2019中报,2019-08-30,,2019-10-18,10派1.5元(含税),2019-10-24,2019-10-25,11.90亿,实施方案,22.39%,1.27%
2019年报,2020-03-27,2020-06-30,2020-08-11,10派1.36元(含税),2020-08-17,2020-08-18,10.79亿,实施方案,11.83%,0.84%
2020中报,2020-08-28,,2020-10-10,10派1.50元(含税),2020-10-15,2020-10-16,11.90亿,实施方案,25.42%,0.93%
2020年报,2021-06-11,2021-06-29,2021-08-20,10派2.33元(含税),2021-08-26,2021-08-27,20.33亿,实施方案,20.09%,1.2%
2021中报,2021-08-31,,2021-10-16,10派1.85元(含税),2021-10-21,2021-10-22,16.14亿,实施方案,23.12%,1.11%
2021年报,2022-03-31,2022-06-29,2022-08-19,10派1.85元(含税),2022-08-25,2022-08-26,16.14亿,实施方案,16.82%,1.63%
2022中报,2022-08-31,,2022-10-14,10派0.96元(含税),2022-10-20,2022-10-21,8.38亿,实施方案,35.56%,1%
2022年报,2023-03-31,2023-06-29,2023-08-18,10派1.58元(含税),2023-08-24,2023-08-25,13.79亿,实施方案,27.72%,1.34%
2023中报,2023-08-31,,2023-10-20,10派2.26元(含税),2023-10-26,2023-10-27,19.72亿,实施方案,50.22%,1.6%
2023年报,2024-03-26,2024-05-11,2024-06-21,10派2.93元(含税),2024-06-27,2024-06-28,25.57亿,实施方案,28.17%,1.81%
2024中报,2024-08-23,,2024-10-11,10派3.72元(含税),2024-10-17,2024-10-18,32.46亿,实施方案,54.71%,2.74%
2024年报,2025-03-28,,,10派3.47元(含税),,,23.54亿,董事会预案,26.49%,--
