报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2016年报,2017-04-25,2017-05-18,2017-05-31,10派0.60元(含税),2017-06-06,2017-06-07,2466.00万,实施方案,26.09%,0.24%
2017中报,2017-07-18,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-04-25,2018-05-25,2018-06-07,10送1.989827股转2.984741股派1.193896元(含税),2018-06-12,2018-06-13,5053.70万,实施方案,22.53%,0.12%
2018中报,2018-08-29,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-26,2019-05-31,2019-06-28,10派2.5元(含税),2019-07-04,2019-07-05,1.61亿,实施方案,35.71%,0.43%
2019中报,2019-08-03,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-28,2020-05-18,,不分配不转增,,,--,股东大会预案,--,--
2020中报,2020-07-21,2020-08-05,2020-08-08,10派3.00元(含税),2020-08-14,2020-08-17,2.02亿,实施方案,74.59%,0.15%
2020年报,2021-04-30,2021-05-20,,不分配不转增,,,--,股东大会预案,--,--
2021中报,2021-08-30,2021-09-15,2021-09-23,10派3.0元(含税),2021-09-28,2021-09-29,2.06亿,实施方案,60.77%,0.27%
2021年报,2022-04-28,2022-05-20,2022-05-26,10转6股派8.5元(含税),2022-06-01,2022-06-02,5.95亿,实施方案,45.95%,1.37%
2022中报,2022-08-19,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-24,2023-05-16,,不分配不转增,,,--,股东大会预案,--,--
2023中报,2023-08-26,2023-09-26,2023-09-29,10派1.8元(含税),2023-10-12,2023-10-13,2.01亿,实施方案,39.45%,0.6%
2023年报,2024-04-27,2024-05-31,2024-06-06,10派2元(含税),2024-06-13,2024-06-14,2.23亿,实施方案,25.97%,1.16%
2024中报,2024-08-29,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-04-21,2025-05-20,,10派0.9元(含税),,,1.01亿,股东大会预案,50%,--
