报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2015年报,2016-06-06,2016-06-27,,不分配不转增,,,--,股东大会预案,--,--
2016中报,2016-08-24,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-04-21,2017-05-15,,不分配不转增,,,--,股东大会预案,--,--
2017中报,2017-08-25,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-04-18,2018-05-11,2018-06-12,10转8.37股,2018-06-19,2018-06-20,--,实施方案,--,--
2018中报,2018-08-22,,,不分配不转增,,,--,董事会预案,--,--
2020中报,2020-08-18,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-20,2021-06-23,2021-07-30,10派0.62元(含税),2021-08-04,2021-08-05,496.07万,实施方案,9.22%,0.25%
2021中报,2021-08-20,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-27,2022-06-24,,不分配不转增,,,--,股东大会预案,--,--
2022中报,2022-08-20,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-03-30,2023-04-22,2023-05-31,10派0.74元(含税),2023-06-06,2023-06-07,587.57万,实施方案,40.35%,0.35%
2023中报,2023-08-26,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-27,2024-05-21,2024-06-11,10派0.92元(含税),2024-06-17,2024-06-18,730.49万,实施方案,40.56%,0.77%
2024中报,2024-08-31,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-04-29,2025-05-21,,10派0.88元(含税),,,698.73万,股东大会预案,40.42%,--
