报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
2018年报,2019-03-26,2019-06-06,2019-07-12,10派1.3元(含税),2019-07-18,2019-07-19,9.62亿,实施方案,28.89%,2.73%
2019中报,2019-08-28,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-01,2020-06-02,2020-07-09,10派1.20元(含税),2020-07-15,2020-07-16,8.88亿,实施方案,31.58%,3.24%
2020中报,2020-08-28,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-31,2021-06-11,2021-07-22,10派1.2元(含税),2021-07-27,2021-07-28,8.88亿,实施方案,32.43%,2.51%
2021中报,2021-08-25,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-03-30,2022-06-01,2022-07-08,10派1.8元(含税),2022-07-14,2022-07-15,13.32亿,实施方案,36%,4.71%
2022中报,2022-08-26,2022-09-29,2022-11-11,10派1.00元(含税),2022-11-17,2022-11-18,7.36亿,实施方案,31.79%,2.62%
2022年报,2023-03-28,2023-05-13,2023-06-20,10派1.0元(含税),2023-06-27,2023-06-28,7.29亿,实施方案,18.18%,2.2%
2023中报,2023-08-26,,2023-10-11,10派1.45元(含税),2023-10-18,2023-10-19,10.58亿,实施方案,48.38%,3.02%
2023年报,2024-03-23,2024-06-08,2024-07-12,10派1.45元(含税),2024-07-19,2024-07-22,10.58亿,实施方案,24.88%,--
