报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
2020中报,2020-08-28,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-19,2021-05-08,2021-06-16,10派1.20元(含税),2021-06-22,2021-06-23,2.85亿,实施方案,42.86%,0.82%
2021中报,2021-08-25,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-03-25,2022-06-11,2022-07-21,10派1元(含税),2022-07-27,2022-07-28,2.83亿,实施方案,27.78%,0.92%
2022中报,2022-08-27,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-03-29,2023-05-24,,不分配不转增,,,--,股东大会预案,--,--
2023中报,2023-08-30,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-27,2024-06-20,2024-07-29,10派1.42元(含税),2024-08-02,2024-08-05,4.02亿,实施方案,59.17%,1.41%
2024中报,2024-08-31,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-03-27,,,10派0.560元(含税),,,2.93亿,董事会预案,40%,--
