报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2019年报,2020-04-25,2020-05-16,2020-06-10,10派2.78元(含税),2020-06-16,2020-06-17,3002.40万,实施方案,35.19%,0.66%
2020中报,2020-08-22,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-23,2021-05-14,2021-06-29,10派1.65元(含税),2021-07-02,2021-07-05,1770.19万,实施方案,40.24%,0.43%
2021中报,2021-08-26,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-27,2022-05-19,,不分配不转增,,,--,股东大会预案,--,--
2022中报,2022-08-27,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-29,2023-05-20,2023-06-01,10转4股派1.28元(含税),2023-06-07,2023-06-08,1599.21万,实施方案,18.82%,0.29%
2023中报,2023-08-01,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-24,2024-06-07,,不分配不转增,,,--,股东大会预案,--,--
2024中报,2024-08-29,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-04-24,2025-05-17,,不分配不转增,,,--,股东大会预案,--,--
