报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
1997年报,1998-05-23,1998-06-25,1998-07-01,10送6股转2股,1998-07-07,1998-07-08,--,实施方案,--,--
1998中报,1998-08-15,,,不分配不转增,,,--,董事会预案,--,--
1998年报,1999-03-06,1999-04-10,1999-05-17,10派2元(含税),1999-05-24,1999-05-25,2262.00万,实施方案,90.91%,1.78%
1999中报,1999-07-31,,,不分配不转增,,,--,董事会预案,--,--
1999年报,2000-02-26,2000-03-29,2000-04-22,10派1.5元(含税),2000-04-26,2000-04-27,1855.00万,实施方案,57.29%,0.94%
2000中报,2000-07-22,,,不分配不转增,,,--,董事会预案,--,--
2000年报,2001-02-27,2001-04-07,2001-05-17,10派1.5元(含税),2001-05-23,2001-05-24,1855.10万,实施方案,65.22%,0.89%
2001中报,2001-07-31,,,不分配不转增,,,--,董事会预案,--,--
2001年报,2002-02-02,2002-03-09,2002-04-18,10派2.1元(含税),2002-04-25,2002-04-26,2597.14万,实施方案,67.74%,1.51%
2002中报,2002-08-17,,,不分配不转增,,,--,董事会预案,--,--
2002年报,2003-03-08,2003-05-31,,不分配不转增,,,--,股东大会预案,--,--
2003中报,2003-08-09,2003-09-10,2003-10-10,10转增3股派2元(含税),2003-10-16,2003-10-17,2698.10万,实施方案,141.84%,2.26%
2003年报,2004-02-17,2004-03-20,2004-05-12,10派1元(含税),2004-05-18,2004-05-19,1753.77万,实施方案,48.12%,1.62%
2004中报,2004-07-23,,,不分配不转增,,,--,董事会预案,--,--
2004年报,2005-02-25,2005-03-31,2005-05-20,10派1元(含税),2005-05-26,2005-05-27,1753.77万,实施方案,42.96%,2.35%
2005中报,2005-08-20,,,不分配不转增,,,--,董事会预案,--,--
2005年报,2006-02-25,2006-03-28,2006-03-28,10派1.5元(含税),2006-03-31,2006-04-03,2630.65万,实施方案,59.24%,3.27%
2006中报,2006-07-28,,,不分配不转增,,,--,董事会预案,--,--
2006年报,2007-04-11,2007-05-17,2007-07-04,10派1.2元(含税),2007-07-10,2007-07-11,2104.52万,实施方案,50%,0.97%
2007中报,2007-07-27,,,不分配不转增,,,--,董事会预案,--,--
2007年报,2008-03-22,2008-04-16,2008-06-04,10派1.8元(含税),2008-06-12,2008-06-13,3156.78万,实施方案,56.25%,2.46%
2008中报,2008-08-19,,,不分配不转增,,,--,董事会预案,--,--
2008年报,2009-03-12,2009-05-21,2009-07-03,10派1.7元(含税),2009-07-09,2009-07-10,2981.40万,实施方案,80.95%,1.57%
2009中报,2009-08-04,,,不分配不转增,,,--,董事会预案,--,--
2009年报,2010-04-23,2010-05-14,2010-06-18,10转增5股派1.8元(含税),2010-06-24,2010-06-25,3156.78万,实施方案,38.3%,0.68%
2010中报,2010-08-20,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-03-31,2011-04-27,2011-06-15,10送5股派2元(含税),2011-06-21,2011-06-22,5261.30万,实施方案,37.04%,1.14%
2011中报,2011-08-19,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-03-23,2012-04-28,2012-06-13,10派1元(含税),2012-06-19,2012-06-20,3945.97万,实施方案,25%,1.1%
2012中报,2012-08-02,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-03-22,2013-04-26,2013-05-30,10派1.00元(含税),2013-06-05,2013-06-06,3945.97万,实施方案,27.78%,1.29%
2013中报,2013-08-16,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-03-28,2014-05-16,2014-06-27,10派1.00元(含税),2014-07-03,2014-07-04,3945.97万,实施方案,15.62%,0.87%
2014中报,2014-08-07,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-03-12,2015-05-16,2015-06-17,10派1元(含税),2015-06-25,2015-06-26,3945.97万,实施方案,18.87%,0.55%
2015中报,2015-08-20,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-03-31,2016-06-29,2016-07-29,10派0.50元(含税),2016-08-04,2016-08-05,2176.85万,实施方案,6.94%,0.4%
2016中报,2016-08-26,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-04-13,2017-05-24,2017-06-28,10转5股派0.50元(含税),2017-07-04,2017-07-05,2176.85万,实施方案,7.25%,0.29%
2017中报,2017-08-26,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-04-11,2018-05-09,2018-06-21,10派0.80元(含税),2018-06-26,2018-06-27,5224.43万,实施方案,16.67%,1.67%
2018中报,2018-08-24,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-03-28,2019-05-08,2019-06-20,10派0.50元(含税),2019-06-26,2019-06-27,3265.27万,实施方案,11.63%,0.56%
2019中报,2019-08-29,,,不分配不转增,,,--,董事会预案,--,--
