报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2019年报,2020-04-14,2020-05-08,2020-05-25,10派1.76元(含税),2020-05-28,2020-05-29,7057.77万,实施方案,27.94%,1.03%
2020中报,2020-08-25,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-13,2021-05-08,2021-05-18,10派2.03元(含税),2021-05-24,2021-05-25,8140.50万,实施方案,30.3%,1.17%
2021中报,2021-08-24,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-26,2022-05-17,2022-06-02,10派0.76元(含税),2022-06-09,2022-06-10,3047.67万,实施方案,10.13%,0.5%
2022中报,2022-08-24,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-25,2023-05-17,2023-06-06,10派1.96元(含税),2023-06-12,2023-06-13,7859.85万,实施方案,30.15%,1.27%
2023中报,2023-08-30,,,不分配不转增,,,--,董事会预案,--,--
2023三季报,2023-10-30,2023-11-15,2023-12-01,10派2.5元(含税),2023-12-07,2023-12-08,1.00亿,实施方案,32.89%,1.38%
2024中报,2024-04-30,2024-05-21,,以不超过2024年中期合并报表归属于上市公司股东净利润的50%进行现金分红,,,--,股东大会预案,--,--
2023年报,2024-04-30,2024-05-21,2024-06-03,10派1.89元(含税),2024-06-06,2024-06-07,7710.98万,实施方案,19.48%,1.15%
