报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
1994年报,1995-06-02,1995-07-11,1995-11-22,10派1.5元(含税),1995-11-27,1995-11-28,3790.00万,实施方案,--,3.94%
1995年报,1996-04-27,1996-06-29,1996-08-24,10派1.5元(含税),1996-08-28,1996-08-29,3790.00万,实施方案,--,2.07%
1996年报,1997-03-12,1997-04-14,1997-04-18,10送3股,1997-04-23,1997-04-24,--,实施方案,--,--
1997年报,1998-03-12,1998-04-23,1998-06-16,10派1.2元(含税),1998-06-19,1998-06-22,4601.00万,实施方案,32%,1.6%
1998年报,1999-04-26,1999-05-27,,不分配不转增,,,--,股东大会预案,--,--
1999中报,1999-07-28,,,不分配不转增,,,--,董事会预案,--,--
1999年报,2000-04-20,2000-05-25,2000-07-19,10派1.2元(含税),2000-07-24,2000-07-25,5410.00万,实施方案,37.5%,0.94%
2000中报,2000-08-15,,,不分配不转增,,,--,董事会预案,--,--
2000年报,2001-03-17,2001-04-17,2001-06-08,10派1.5元(含税),2001-06-14,2001-06-15,6763.00万,实施方案,29.41%,1.15%
2001中报,2001-08-24,,,不分配不转增,,,--,董事会预案,--,--
2001年报,2002-04-11,2002-05-17,2002-07-08,10转增2股派1元(含税),2002-07-11,2002-07-12,5307.72万,实施方案,16.67%,0.64%
2002中报,2002-08-16,,,不分配不转增,,,--,董事会预案,--,--
2002年报,2003-04-17,2003-06-28,2003-07-11,10转5股派1.2元(含税),2003-07-16,2003-07-17,7643.11万,实施方案,25.53%,0.52%
2003中报,2003-08-21,,,不分配不转增,,,--,董事会预案,--,--
2003年报,2004-04-20,2004-06-26,2004-08-09,10转增3股派1元(含税),2004-08-12,2004-08-13,9553.89万,实施方案,28.57%,1.32%
2004中报,2004-08-25,,,不分配不转增,,,--,董事会预案,--,--
2004年报,2005-04-14,2005-07-01,,不分配不转增,,,--,股东大会预案,--,--
2005中报,2005-08-31,,,不分配不转增,,,--,董事会预案,--,--
2005年报,2006-04-29,2006-07-01,,不分配不转增,,,--,股东大会预案,--,--
2006中报,2006-08-28,,,不分配不转增,,,--,董事会预案,--,--
2006年报,2007-04-26,2007-06-29,,不分配不转增,,,--,股东大会预案,--,--
2007中报,2007-08-30,,,不分配不转增,,,--,董事会预案,--,--
2007年报,2008-04-30,2008-06-28,2008-07-25,10派1元(含税),2008-07-30,2008-07-31,1.24亿,实施方案,20.99%,0.79%
2008中报,2008-08-30,,,不分配不转增,,,--,董事会预案,--,--
2008年报,2009-04-30,2009-06-11,2009-07-21,10派5.9元(含税),2009-07-24,2009-07-27,7.33亿,实施方案,84.98%,3.66%
2009中报,2009-08-29,,,不分配不转增,,,--,董事会预案,--,--
2009年报,2010-04-30,2010-05-21,2010-06-03,10派4.9元(含税),2010-06-08,2010-06-09,6.09亿,实施方案,65.33%,2.15%
2010中报,2010-08-31,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-04-08,2011-06-14,2011-07-25,10转3股派5.8元(含税),2011-07-29,2011-08-01,7.20亿,实施方案,63.74%,3.44%
2011中报,2011-08-31,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-04-28,2012-06-29,,不分配不转增,,,--,股东大会预案,--,--
2012中报,2012-08-31,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-04-27,2013-06-28,,不分配不转增,,,--,股东大会预案,--,--
2013中报,2013-08-31,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-04-30,2014-06-28,2014-08-19,10派0.66元(含税),2014-08-25,2014-08-26,1.27亿,实施方案,73.33%,0.99%
2014中报,2014-08-30,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-02-07,2015-03-13,,不分配不转增,,,--,股东大会预案,--,--
2015中报,2015-08-31,2015-09-16,2015-11-06,10派10元(含税),2015-11-12,2015-11-13,19.17亿,实施方案,500%,7.28%
2015年报,2016-02-06,2016-03-23,2016-03-30,10转3股,2016-04-05,2016-04-06,--,实施方案,--,--
2016中报,2016-08-19,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-03-04,2017-03-28,2017-04-06,10派5元(含税),2017-04-12,2017-04-13,12.71亿,实施方案,156.25%,6.28%
2017中报,2017-08-10,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-02-10,2018-03-06,2018-04-25,10派5.00元(含税),2018-05-03,2018-05-04,12.72亿,实施方案,312.5%,9.07%
2018中报,2018-08-15,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-03-16,2019-06-15,,不分配不转增,,,--,股东大会预案,--,--
2019中报,2019-08-31,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-23,2020-06-03,,不分配不转增,,,--,股东大会预案,--,--
2020中报,2020-08-26,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-06,2021-06-26,,不分配不转增,,,--,股东大会预案,--,--
2021中报,2021-08-16,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-09,2022-06-28,,不分配不转增,,,--,股东大会预案,--,--
2022中报,2022-08-26,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-11,2023-06-16,,不分配不转增,,,--,股东大会预案,--,--
2023中报,2023-08-25,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-11,2024-06-08,,不分配不转增,,,--,股东大会预案,--,--
1993年报,,,1994-12-03,10派2.3元(含税),1994-12-09,1994-12-12,5810.72万,实施方案,--,--
