报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2014年报,2015-06-09,2015-06-30,2015-08-18,10派1.1元(含税),2015-08-24,2015-08-25,1056.00万,实施方案,13.58%,0.23%
2015中报,2015-08-12,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-04-26,2016-05-19,2016-06-08,10转15股派1.2元(含税),2016-06-16,2016-06-17,1152.00万,实施方案,17.39%,0.33%
2016中报,2016-07-26,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-04-22,2017-05-13,2017-06-27,10派0.30元(含税),2017-07-04,2017-07-05,1356.54万,实施方案,10%,0.12%
2017中报,2017-08-16,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-04-26,2018-05-18,2018-05-23,10派0.50元(含税),2018-05-29,2018-05-30,2260.90万,实施方案,100%,0.47%
2018中报,2018-08-21,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-26,2019-05-22,,不分配不转增,,,--,股东大会预案,--,--
2019中报,2019-08-21,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-03-31,2020-04-22,2020-04-29,10派0.4元(含税),2020-05-08,2020-05-11,1608.61万,实施方案,50%,0.58%
2020中报,2020-08-25,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-28,2021-05-29,,不分配不转增,,,--,股东大会预案,--,--
2021中报,2021-07-27,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-02-22,2022-03-16,2022-03-22,10派3.8元(含税),2022-03-28,2022-03-29,1.53亿,实施方案,20.54%,1.36%
2022中报,2022-08-27,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-03-30,2023-04-25,2023-05-04,10派2.7元(含税),2023-05-11,2023-05-12,1.10亿,实施方案,20.61%,1.81%
2023中报,2023-08-26,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-25,2024-04-19,2024-05-17,10派1元(含税),2024-05-23,2024-05-24,4984.14万,实施方案,111.11%,--
