报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,B股股权登记日,B股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2021年报,2022-06-10,2022-07-04,,不分配不转增,,,--,股东大会预案,--,--
2022中报,2022-08-30,2022-09-16,2022-09-21,10派2.50元(含税),,,1500.00万,实施方案,78.35%,--
2022年报,2023-04-27,2023-05-19,2023-05-30,10派2元(含税),,,1278.43万,实施方案,26.32%,--
2023中报,2023-08-31,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-03,2024-04-24,,不分配不转增,,,--,股东大会预案,--,--
2024中报,2024-08-30,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-04-28,2025-05-20,,10派0.8元(含税),,,704.57万,股东大会预案,10.07%,--
