报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2010年报,2011-04-26,2011-05-21,,不分配不转增,,,--,股东大会预案,--,--
2011中报,2011-08-19,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-03-27,2012-04-19,2012-05-10,10派2元(含税),2012-05-17,2012-05-18,2400.00万,实施方案,38.46%,1.33%
2012中报,2012-08-08,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-02-28,2013-04-25,,不分配不转增,,,--,股东大会预案,--,--
2013中报,2013-08-24,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-04-03,2014-04-24,2014-04-29,10转6股派2.00元(含税),2014-05-06,2014-05-07,2400.00万,实施方案,22.73%,0.8%
2014中报,2014-07-29,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-02-04,2015-03-07,2015-04-16,10派1.00元(含税),2015-04-22,2015-04-23,1920.00万,实施方案,12.99%,0.32%
2015中报,2015-08-18,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-04-16,2016-05-11,2016-05-16,10派1.5元(含税),2016-05-20,2016-05-23,2880.00万,实施方案,13.51%,0.43%
2016中报,2016-08-26,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-04-15,2017-05-18,2017-05-23,10派3.00元(含税),2017-05-26,2017-05-31,6367.44万,实施方案,23.08%,0.89%
2017中报,2017-08-30,2017-09-15,2017-09-19,10转10股,2017-09-26,2017-09-27,--,实施方案,--,--
2017年报,2018-04-05,2018-04-27,2018-05-14,10派1.013151元(含税),2018-05-17,2018-05-18,4244.96万,实施方案,21.11%,0.95%
2018中报,2018-08-28,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-09,2019-05-11,2019-05-17,10派2.0元(含税),2019-05-23,2019-05-24,8174.01万,实施方案,31.75%,2.25%
2019中报,2019-08-28,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-08,2020-05-09,2020-05-14,10派1.50元(含税),2020-05-19,2020-05-20,6130.51万,实施方案,21.13%,1.37%
2020中报,2020-07-31,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-10,2021-05-08,2021-05-12,10派1元(含税),2021-05-17,2021-05-18,4087.00万,实施方案,15.15%,0.58%
2021中报,2021-08-21,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-21,2022-05-12,2022-05-19,10派1.5元(含税),2022-05-24,2022-05-25,6130.72万,实施方案,10.71%,0.91%
2022中报,2022-08-18,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-11,2023-05-11,2023-05-18,10派2元(含税),2023-05-23,2023-05-24,8174.32万,实施方案,10%,1.43%
2023中报,2023-08-18,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-18,2024-05-11,2024-05-23,10派1.5元(含税),2024-05-28,2024-05-29,6124.85万,实施方案,20.83%,1.27%
2024中报,2024-08-23,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-04-19,2025-05-16,2025-05-22,10派2元(含税),2025-05-28,2025-05-29,8070.53万,实施方案,29.41%,--
