报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
2018中报,2018-08-22,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-03-23,2019-06-04,2019-06-26,10转4股派5.8002元(含税),2019-07-01,2019-07-02,6.79亿,实施方案,26.01%,0.64%
2019中报,2019-08-20,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-03-25,2020-05-16,2020-05-29,10转4股派3.37元(含税),2020-06-03,2020-06-04,5.56亿,实施方案,29.56%,0.3%
2020中报,2020-08-14,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-31,2021-05-14,2021-06-02,10转2股派3.63元(含税),2021-06-07,2021-06-08,8.90亿,实施方案,28.58%,0.21%
2021中报,2021-08-13,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-03-24,2022-05-07,2022-06-02,10派5.1740元(含税),2022-06-08,2022-06-09,15.29亿,实施方案,29.57%,0.49%
2022中报,2022-07-27,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-03-21,2023-06-01,2023-06-08,10派8.9266元(含税),2023-06-13,2023-06-14,26.49亿,实施方案,29.66%,1.3%
2023中报,2023-08-01,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-19,2024-06-13,2024-06-20,10派9.8974元(含税),2024-06-25,2024-06-26,28.82亿,实施方案,30.27%,--
