报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2020三季报,2020-11-17,2020-12-03,2021-01-08,10派1.66元(含税),2021-01-14,2021-01-15,1.08亿,实施方案,13.5%,0.65%
2020年报,2021-02-02,2021-02-24,,不分配不转增,,,--,股东大会预案,--,--
2021中报,2021-08-27,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-02-15,2022-03-08,2022-04-22,10派1.7元(含税),2022-04-28,2022-04-29,1.10亿,实施方案,14.66%,0.73%
2022中报,2022-08-29,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-02-21,2023-03-14,,不分配不转增,,,--,股东大会预案,--,--
2023中报,2023-08-31,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-01,2024-03-22,2024-04-12,10转4股派4.1元(含税),2024-04-18,2024-04-19,3.02亿,实施方案,20.4%,--
