item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,1.7
buy_1_vol,373700
buy_2,1.69
buy_2_vol,166100
buy_3,1.68
buy_3_vol,20200
buy_4,1.67
buy_4_vol,47300
buy_5,1.66
buy_5_vol,108000
最新,1.7
均价,1.67
涨幅,4.94
涨跌,0.08
总手,73288
金额,12259824.0
换手,2.25
量比,1.08
最高,1.7
最低,1.63
今开,1.64
昨收,1.62
涨停,1.7
跌停,1.54
外盘,43607
内盘,29681
