item,value
sell_5,3.38
sell_5_vol,77700
sell_4,3.37
sell_4_vol,59000
sell_3,3.36
sell_3_vol,9800
sell_2,3.35
sell_2_vol,117000
sell_1,3.34
sell_1_vol,26900
buy_1,3.33
buy_1_vol,337100
buy_2,3.32
buy_2_vol,144300
buy_3,3.31
buy_3_vol,206900
buy_4,3.3
buy_4_vol,461600
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,3.33
均价,3.41
涨幅,-4.03
涨跌,-0.14
总手,205068
金额,69985495.0
换手,1.55
量比,1.05
最高,3.5
最低,3.31
今开,3.45
昨收,3.47
涨停,3.64
跌停,3.3
外盘,76692
内盘,128376
