item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,1.97
sell_3_vol,878500
sell_2,1.96
sell_2_vol,174200
sell_1,1.95
sell_1_vol,59300
buy_1,1.94
buy_1_vol,114900
buy_2,1.93
buy_2_vol,185400
buy_3,1.92
buy_3_vol,66600
buy_4,1.91
buy_4_vol,100000
buy_5,1.9
buy_5_vol,96000
最新,1.95
均价,1.91
涨幅,3.72
涨跌,0.07
总手,205970
金额,39431040.0
换手,2.7
量比,1.23
最高,1.97
最低,1.83
今开,1.83
昨收,1.88
涨停,1.97
跌停,1.79
外盘,121892
内盘,84078
