item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,4.4
buy_1_vol,3639500
buy_2,4.39
buy_2_vol,3700
buy_3,4.35
buy_3_vol,100
buy_4,4.33
buy_4_vol,49500
buy_5,4.32
buy_5_vol,18700
最新,4.4
均价,4.25
涨幅,10.0
涨跌,0.4
总手,96873
金额,41166708.0
换手,1.41
量比,1.5
最高,4.4
最低,4.06
今开,4.06
昨收,4.0
涨停,4.4
跌停,3.6
外盘,59017
内盘,37856
