item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,0.98
sell_1_vol,308700
buy_1,0.97
buy_1_vol,140600
buy_2,0.96
buy_2_vol,177900
buy_3,0.95
buy_3_vol,32000
buy_4,0.94
buy_4_vol,78300
buy_5,0.93
buy_5_vol,126500
最新,0.98
均价,0.98
涨幅,5.38
涨跌,0.05
总手,58588
金额,5720952.0
换手,1.15
量比,1.08
最高,0.98
最低,0.93
今开,0.93
昨收,0.93
涨停,0.98
跌停,0.88
外盘,30908
内盘,27680
