item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,1.7
buy_1_vol,2176700
buy_2,1.69
buy_2_vol,27300
buy_3,1.68
buy_3_vol,57100
buy_4,1.67
buy_4_vol,37500
buy_5,1.66
buy_5_vol,30100
最新,1.7
均价,1.68
涨幅,4.94
涨跌,0.08
总手,100959
金额,16989062.85
换手,1.86
量比,0.9
最高,1.7
最低,1.65
今开,1.66
昨收,1.62
涨停,1.7
跌停,1.54
外盘,51980
内盘,48979
