item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,13.68
buy_1_vol,3026000
buy_2,13.67
buy_2_vol,1700
buy_3,13.66
buy_3_vol,12600
buy_4,13.65
buy_4_vol,4900
buy_5,13.63
buy_5_vol,1800
最新,13.68
均价,13.41
涨幅,20.0
涨跌,2.28
总手,97083
金额,130142406.64
换手,11.21
量比,1.01
最高,13.68
最低,11.42
今开,11.5
昨收,11.4
涨停,13.68
跌停,9.12
外盘,16164
内盘,80919
