item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,9.6
buy_1_vol,6398200
buy_2,9.59
buy_2_vol,222600
buy_3,9.58
buy_3_vol,16300
buy_4,9.57
buy_4_vol,7900
buy_5,9.56
buy_5_vol,1800
最新,9.6
均价,9.27
涨幅,9.97
涨跌,0.87
总手,486437
金额,451128987.33
换手,3.06
量比,1.48
最高,9.6
最低,8.9
今开,8.92
昨收,8.73
涨停,9.6
跌停,7.86
外盘,241854
内盘,244583
