item,value
sell_5,0.95
sell_5_vol,213300
sell_4,0.94
sell_4_vol,131400
sell_3,0.93
sell_3_vol,50600
sell_2,0.92
sell_2_vol,139900
sell_1,0.91
sell_1_vol,769700
buy_1,-
buy_1_vol,----------------------------------------------------------------------------------------------------
buy_2,-
buy_2_vol,----------------------------------------------------------------------------------------------------
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,0.91
均价,0.95
涨幅,-5.21
涨跌,-0.05
总手,202643
金额,19177272.0
换手,3.98
量比,1.75
最高,1.0
最低,0.91
今开,0.98
昨收,0.96
涨停,1.01
跌停,0.91
外盘,73522
内盘,129121
